provider,query_id,query,rank,work_id,doi,title,year,work_type,url
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",6,https://openalex.org/W4210692696,10.3390/app12031655,Increasing the Corrosion Resistance and Durability of Geopolymer Concrete Structures of Agricultural Buildings Operating in Specific Conditions of Aggressive Environments of Livestock Buildings,2022,article,https://doi.org/10.3390/app12031655
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",7,https://openalex.org/W2806908669,,"Determinants of Household Final consumption expenditures in Asian countries: a panel model, 1991-2015",2018,article,https://dialnet.unirioja.es/servlet/oaiart?codigo=7366044
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",8,https://openalex.org/W3018056549,10.1051/e3sconf/202016613005,Model of diagnostics of resource efficiency in oil and gas sector of economy of Ukraine,2020,conference-paper,https://doi.org/10.1051/e3sconf/202016613005
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",9,https://openalex.org/W4320732322,10.3390/s23042107,Improved Cattle Disease Diagnosis Based on Fuzzy Logic Algorithms,2023,article,https://doi.org/10.3390/s23042107
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",10,https://openalex.org/W2587731985,10.12759/hsr.40.2015.3.7-29,Grasping Processes of Innovation Empirically. A Call for Expanding the Methodological Toolkit. An Introduction,2015,article,http://www.ssoar.info/ssoar/handle/document/43224
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",11,https://openalex.org/W3000895385,10.1162/qss_a_00018,Web of Science as a data source for research on scientific and scholarly activity,2020,article,https://doi.org/10.1162/qss_a_00018
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",12,https://openalex.org/W4400252226,10.5545/sv-jme.2023.893,Experimental Attempts of Using Modulated and Unmodulated Waves in Low-Frequency Acoustic Wave Flame Extinguishing Technology: A Review of Selected Cases,2024,article,https://doi.org/10.5545/sv-jme.2023.893
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",13,https://openalex.org/W3184978648,10.29121/ijoest.v5.i4.2021.205,THE MISSION AND ESSENCE OF THE THEORY OF TECHNOLOGICAL ORDERS,2021,article,https://doi.org/10.29121/ijoest.v5.i4.2021.205
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",14,https://openalex.org/W4367624436,10.3390/ma16093494,Modeling and Model Verification of the Stress-Strain State of Reinforced Polymer Concrete,2023,article,https://doi.org/10.3390/ma16093494
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",15,https://openalex.org/W4400426890,10.1108/el-03-2024-0070,Exploring the relationship between team institutional composition and novelty in academic papers based on fine-grained knowledge entities,2024,article,https://doi.org/10.1108/el-03-2024-0070
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",16,https://openalex.org/W4295940413,10.34022/2658-3712-2022-48-3-35-45,"THE CONCEPT OF ""LABOR PROTECTION"": NEW APPROACHES TO THE CONSTRUCTION OF DEFINITIONS USING THE METHOD OF TWO-LEVEL TRIADIC CATEGORY DECODING",2022,article,https://doi.org/10.34022/2658-3712-2022-48-3-35-45
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",17,https://openalex.org/W4389855344,10.1016/j.heliyon.2023.e23795,International regional competitiveness of rural territories as a factor of their socio-economic development: Methodological aspects,2023,article,https://doi.org/10.1016/j.heliyon.2023.e23795
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",18,https://openalex.org/W4387224494,10.48550/arxiv.2309.16437,Beyond Citations: Measuring Novel Scientific Ideas and their Impact in Publication Text,2023,preprint,http://arxiv.org/abs/2309.16437
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",19,https://openalex.org/W4312078486,10.37614/2220-802x.4.2022.78.011,Shift method as a reserve for the transformation of migration processes in the regions of the Russian Arctic,2022,article,https://doi.org/10.37614/2220-802x.4.2022.78.011
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",20,https://openalex.org/W3117686975,10.47836/pjssh.28.4.02,"Academic Stress, Coping and Social Cultural Adaptation of Psychological Well Being among Indonesian Postgraduate Students",2020,article,https://doi.org/10.47836/pjssh.28.4.02
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",21,https://openalex.org/W4224214950,10.30853/phil20220156,Substantive Representation of Temporal and Aspectual Duration (by the Material of the English and Russian Languages),2022,article,https://doi.org/10.30853/phil20220156
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",22,https://openalex.org/W3048778138,10.14498/tech.2020.2.6,Evaluation of metrological reliability of measuring instruments by method of generating functions,2020,article,https://doi.org/10.14498/tech.2020.2.6
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",23,https://openalex.org/W3123454468,10.3390/pr9020204,Combined Approach to Analysis and Regulation of Thermodynamic Processes in the Energy Technology Complex,2021,article,https://doi.org/10.3390/pr9020204
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",24,https://openalex.org/W2790785997,10.17853/1994-5639-2018-2-180-195,QUALITY ASSESSMENT OF STUDENT COURSEWORKS: COMPETENCY-BASED APPROACH,2018,article,https://doi.org/10.17853/1994-5639-2018-2-180-195
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",25,https://openalex.org/W4362673843,10.15421/192305,Modification of the Value Management of International Corporate Structures in the Conditions of the Digital Economy,2023,article,https://doi.org/10.15421/192305
Crossref,Q02,"""recombinational novelty"" cited references combinations",1,10.1016/j.joi.2019.100979,10.1016/j.joi.2019.100979,Do we measure novelty when we analyze unusual combinations of cited references? A validation study of bibliometric novelty indicators based on F1000Prime data,2019,journal-article,https://doi.org/10.1016/j.joi.2019.100979
Crossref,Q02,"""recombinational novelty"" cited references combinations",2,10.1016/j.joi.2024.101544,10.1016/j.joi.2024.101544,Corrigendum to “Do we measure novelty when we analyze unusual combinations of cited references? A validation study of bibliometric novelty indicators based on F1000Prime data” [Journal of Informetrics 13/4 (2019) 100979],2024,journal-article,https://doi.org/10.1016/j.joi.2024.101544
Crossref,Q02,"""recombinational novelty"" cited references combinations",3,10.1515/9781438477565-009,10.1515/9781438477565-009,Works Cited,2020,book-chapter,https://doi.org/10.1515/9781438477565-009
Crossref,Q02,"""recombinational novelty"" cited references combinations",4,10.2307/jj.18253936.11,10.2307/jj.18253936.11,Works Cited,2020,book-chapter,https://doi.org/10.2307/jj.18253936.11
Crossref,Q02,"""recombinational novelty"" cited references combinations",5,10.2307/j.ctvr43kmw.13,10.2307/j.ctvr43kmw.13,References Cited,2019,book-chapter,https://doi.org/10.2307/j.ctvr43kmw.13
Crossref,Q02,"""recombinational novelty"" cited references combinations",6,10.2307/j.ctvxw3nkc.17,10.2307/j.ctvxw3nkc.17,References Cited,2016,book-chapter,https://doi.org/10.2307/j.ctvxw3nkc.17
Crossref,Q02,"""recombinational novelty"" cited references combinations",7,10.2307/j.ctv2fccv3z.8,10.2307/j.ctv2fccv3z.8,CITED REFERENCES,2022,book-chapter,https://doi.org/10.2307/j.ctv2fccv3z.8
Crossref,Q02,"""recombinational novelty"" cited references combinations",8,10.1515/9781400879939-010,10.1515/9781400879939-010,8. Cited References,1960,book-chapter,https://doi.org/10.1515/9781400879939-010
Crossref,Q02,"""recombinational novelty"" cited references combinations",9,10.7560/730915-017,10.7560/730915-017,REFERENCES CITED,1995,book-chapter,https://doi.org/10.7560/730915-017
Crossref,Q02,"""recombinational novelty"" cited references combinations",10,10.2307/j.ctv2sp3dx1.16,10.2307/j.ctv2sp3dx1.16,References Cited,2022,book-chapter,https://doi.org/10.2307/j.ctv2sp3dx1.16
Crossref,Q02,"""recombinational novelty"" cited references combinations",11,10.7560/734548-018,10.7560/734548-018,References Cited,2001,book-chapter,https://doi.org/10.7560/734548-018
Crossref,Q02,"""recombinational novelty"" cited references combinations",12,10.2307/j.ctvx1hshp.16,10.2307/j.ctvx1hshp.16,REFERENCES CITED,2019,book-chapter,https://doi.org/10.2307/j.ctvx1hshp.16
Crossref,Q02,"""recombinational novelty"" cited references combinations",13,10.7330/9780874215151.c016,10.7330/9780874215151.c016,References Cited,2005,book-chapter,https://doi.org/10.7330/9780874215151.c016
Crossref,Q02,"""recombinational novelty"" cited references combinations",14,10.1016/b978-0-08-057439-4.50031-9,10.1016/b978-0-08-057439-4.50031-9,References Cited,2001,book-chapter,https://doi.org/10.1016/b978-0-08-057439-4.50031-9
Crossref,Q02,"""recombinational novelty"" cited references combinations",15,10.7591/9781501731556-011,10.7591/9781501731556-011,References Cited,2019,book-chapter,https://doi.org/10.7591/9781501731556-011
Crossref,Q02,"""recombinational novelty"" cited references combinations",16,10.1515/9781400830688.317,10.1515/9781400830688.317,References Cited,2009,book-chapter,https://doi.org/10.1515/9781400830688.317
Crossref,Q02,"""recombinational novelty"" cited references combinations",17,10.1515/9780804764599-015,10.1515/9780804764599-015,References Cited,2002,book-chapter,https://doi.org/10.1515/9780804764599-015
Crossref,Q02,"""recombinational novelty"" cited references combinations",18,10.2307/jj.30347146.12,10.2307/jj.30347146.12,References Cited,2009,book-chapter,https://doi.org/10.2307/jj.30347146.12
Crossref,Q02,"""recombinational novelty"" cited references combinations",19,10.1016/b978-0-444-42116-6.50018-3,10.1016/b978-0-444-42116-6.50018-3,REFERENCES CITED,1982,book-chapter,https://doi.org/10.1016/b978-0-444-42116-6.50018-3
Crossref,Q02,"""recombinational novelty"" cited references combinations",20,10.2307/j.ctv2vt03p4.13,10.2307/j.ctv2vt03p4.13,References Cited,2022,book-chapter,https://doi.org/10.2307/j.ctv2vt03p4.13
Crossref,Q02,"""recombinational novelty"" cited references combinations",21,10.7560/750142-025,10.7560/750142-025,References Cited,1976,book-chapter,https://doi.org/10.7560/750142-025
Crossref,Q02,"""recombinational novelty"" cited references combinations",22,10.2307/j.ctvx073tc.14,10.2307/j.ctvx073tc.14,References Cited,2013,book-chapter,https://doi.org/10.2307/j.ctvx073tc.14
Crossref,Q02,"""recombinational novelty"" cited references combinations",23,10.2307/j.ctv16qfc.9,10.2307/j.ctv16qfc.9,REFERENCES CITED,1981,book-chapter,https://doi.org/10.2307/j.ctv16qfc.9
Crossref,Q02,"""recombinational novelty"" cited references combinations",24,10.1525/9780520332362-013,10.1525/9780520332362-013,References Cited,1986,book-chapter,https://doi.org/10.1525/9780520332362-013
Crossref,Q02,"""recombinational novelty"" cited references combinations",25,10.2307/j.ctvdmwx02.18,10.2307/j.ctvdmwx02.18,References Cited,2016,book-chapter,https://doi.org/10.2307/j.ctvdmwx02.18
Crossref,Q03,"""element novelty"" scientific papers word embedding",1,10.1371/journal.pone.0341474,10.1371/journal.pone.0341474,Correction: Measuring novelty in science with word embedding,2026,journal-article,https://doi.org/10.1371/journal.pone.0341474
Crossref,Q03,"""element novelty"" scientific papers word embedding",2,10.1371/journal.pone.0254034,10.1371/journal.pone.0254034,Measuring novelty in science with word embedding,2021,journal-article,https://doi.org/10.1371/journal.pone.0254034
Crossref,Q03,"""element novelty"" scientific papers word embedding",3,10.1145/3677389.3702491,10.1145/3677389.3702491,Which Types of Word Embedding Models are More Effective for Novelty Measurement?,2024,proceedings-article,https://doi.org/10.1145/3677389.3702491
Crossref,Q03,"""element novelty"" scientific papers word embedding",4,10.1038/d41586-024-04021-w,10.1038/d41586-024-04021-w,Can novelty scores on papers shift the power dynamics in scientific publishing?,2024,journal-article,https://doi.org/10.1038/d41586-024-04021-w
Crossref,Q03,"""element novelty"" scientific papers word embedding",5,10.18653/v1/p16-1023,10.18653/v1/p16-1023,Intrinsic Subspace Evaluation of Word Embedding Representations,2016,proceedings-article,https://doi.org/10.18653/v1/p16-1023
Crossref,Q03,"""element novelty"" scientific papers word embedding",6,10.5220/0010380112181225,10.5220/0010380112181225,Unsupervised Word Sense Disambiguation based on Word Embedding and Collocation,2021,proceedings-article,https://doi.org/10.5220/0010380112181225
Crossref,Q03,"""element novelty"" scientific papers word embedding",7,10.3139/9783446473904.008,10.3139/9783446473904.008,Word Embedding,2022,book-chapter,https://doi.org/10.3139/9783446473904.008
Crossref,Q03,"""element novelty"" scientific papers word embedding",8,10.31471/2304-7402-2019-2(54)-305-310,10.31471/2304-7402-2019-2(54)-305-310,MUSICALITY AS ELEMENT OF DRAMATURGIC THOUGHT  OF OLEKSANDR OLES,2019,journal-article,https://doi.org/10.31471/2304-7402-2019-2(54)-305-310
Crossref,Q03,"""element novelty"" scientific papers word embedding",9,10.1155/2021/8381550,10.1155/2021/8381550,Malware Detection Using CNN via Word Embedding in Cloud Computing Infrastructure,2021,journal-article,https://doi.org/10.1155/2021/8381550
Crossref,Q03,"""element novelty"" scientific papers word embedding",10,10.18653/v1/p16-2083,10.18653/v1/p16-2083,Word Embedding Calculus in Meaningful Ultradense Subspaces,2016,proceedings-article,https://doi.org/10.18653/v1/p16-2083
Crossref,Q03,"""element novelty"" scientific papers word embedding",11,10.1016/j.sciaf.2025.e02657,10.1016/j.sciaf.2025.e02657,Amharic document clustering using semantic information from neural word embedding and encyclopedic knowledge,2025,journal-article,https://doi.org/10.1016/j.sciaf.2025.e02657
Crossref,Q03,"""element novelty"" scientific papers word embedding",12,10.37943/elgd6408,10.37943/elgd6408,NEGATIVE-SAMPLING WORD-EMBEDDING METHOD,2022,journal-article,https://doi.org/10.37943/elgd6408
Crossref,Q03,"""element novelty"" scientific papers word embedding",13,10.1007/s11192-024-05150-9,10.1007/s11192-024-05150-9,An integrated indicator for evaluating scientific papers: considering academic impact and novelty,2024,journal-article,https://doi.org/10.1007/s11192-024-05150-9
Crossref,Q03,"""element novelty"" scientific papers word embedding",14,10.1038/s41598-025-28758-0,10.1038/s41598-025-28758-0,Improved Arabic query expansion using word embedding,2026,journal-article,https://doi.org/10.1038/s41598-025-28758-0
Crossref,Q03,"""element novelty"" scientific papers word embedding",15,10.5593/sgem2018/2.2/s08.068,10.5593/sgem2018/2.2/s08.068,WORD EMBEDDING BASED PLACE THEME ANALYSIS IN USER-GENERATED DATA,2018,proceedings-article,https://doi.org/10.5593/sgem2018/2.2/s08.068
Crossref,Q03,"""element novelty"" scientific papers word embedding",16,10.32782/2412-933x/2026-xxvi-24,10.32782/2412-933x/2026-xxvi-24,MYTHOLOGIZATION OF THE WORD IN P.B. AUSTER`S NOVELS,2026,journal-article,https://doi.org/10.32782/2412-933x/2026-xxvi-24
Crossref,Q03,"""element novelty"" scientific papers word embedding",17,10.4135/9781529697230,10.4135/9781529697230,Combining Traditional Qualitative Content Analysis with Word Embedding Techniques,2024,database,https://doi.org/10.4135/9781529697230
Crossref,Q03,"""element novelty"" scientific papers word embedding",18,10.1016/j.eswa.2016.03.013,10.1016/j.eswa.2016.03.013,Learning multi-prototype word embedding from single-prototype word embedding with integrated knowledge,2016,journal-article,https://doi.org/10.1016/j.eswa.2016.03.013
Crossref,Q03,"""element novelty"" scientific papers word embedding",19,10.32782/2412-933x/2025-xxv-18,10.32782/2412-933x/2025-xxv-18,WORD-FORMATION MODELS OF ONYM-BASED TELESCOPISMS IN MODERN ENGLISH DISCOURSE,2025,journal-article,https://doi.org/10.32782/2412-933x/2025-xxv-18
Crossref,Q03,"""element novelty"" scientific papers word embedding",20,10.18411/scienceconf-03-2021-46,10.18411/scienceconf-03-2021-46,Conversion method of word formation in computer terminology,2021,proceedings-article,https://doi.org/10.18411/scienceconf-03-2021-46
Crossref,Q03,"""element novelty"" scientific papers word embedding",21,10.5220/0010377907330742,10.5220/0010377907330742,Malware Classification with Word Embedding Features,2021,proceedings-article,https://doi.org/10.5220/0010377907330742
Crossref,Q03,"""element novelty"" scientific papers word embedding",22,10.18653/v1/p18-1113,10.18653/v1/p18-1113,Word Embedding and WordNet Based Metaphor Identification and Interpretation,2018,proceedings-article,https://doi.org/10.18653/v1/p18-1113
Crossref,Q03,"""element novelty"" scientific papers word embedding",23,10.31209/2019.100000135,10.31209/2019.100000135,Word Embedding Based Knowledge Representation with Extracting Relationship Between Scientific Terminologies,2019,journal-article,https://doi.org/10.31209/2019.100000135
Crossref,Q03,"""element novelty"" scientific papers word embedding",24,10.1038/s41598-020-80670-x,10.1038/s41598-020-80670-x,A deep learning framework combined with word embedding to identify DNA replication origins,2021,journal-article,https://doi.org/10.1038/s41598-020-80670-x
Crossref,Q03,"""element novelty"" scientific papers word embedding",25,10.31471/2304-7402-2019-2(54)-220-228,10.31471/2304-7402-2019-2(54)-220-228,SPATIAL MOVEMENTS AS A PLOT CREATING ELEMENT  OF DIANA JONES’ FAIRY NARRATIVE  “HOWL’S MOVING CASTLE”,2019,journal-article,https://doi.org/10.31471/2304-7402-2019-2(54)-220-228
OpenAlex,Q03,"""element novelty"" scientific papers word embedding",1,https://openalex.org/W4381432265,10.1371/journal.pone.0284567,Identify novel elements of knowledge with word embedding,2023,article,https://doi.org/10.1371/journal.pone.0284567
OpenAlex,Q03,"""element novelty"" scientific papers word embedding",2,https://openalex.org/W3008074703,,Forth Industrial Revolution (4 IR) : digital disruption of cyber-physical systems,2018,conference-paper,https://ruj.uj.edu.pl/xmlui/handle/item/77599
OpenAlex,Q03,"""element novelty"" scientific papers word embedding",3,https://openalex.org/W4289260076,10.5281/zenodo.6948123,Identify Novel Elements of Knowledge with Word Embedding,2022,conference-paper,https://zenodo.org/record/6948123
OpenAlex,Q03,"""element novelty"" scientific papers word embedding",4,https://openalex.org/W4412609516,10.51408/issi2025_082,What Type of Methodological Novelty is More Disruptive? Evidence from Citation Classics,2025,conference-paper,https://doi.org/10.51408/issi2025_082
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",1,10.3100/hpib.v26iss2.2021.n15,10.3100/hpib.v26iss2.2021.n15,Index to New Names and Combinations,2021,journal-article,https://doi.org/10.3100/hpib.v26iss2.2021.n15
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",2,10.3100/hpib.v25iss2.2020.n16,10.3100/hpib.v25iss2.2020.n16,Index to New Names and Combinations,2020,journal-article,https://doi.org/10.3100/hpib.v25iss2.2020.n16
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",3,10.3100/hpib.v26iss1.2021.n15,10.3100/hpib.v26iss1.2021.n15,Index to New Names and Combinations,2021,journal-article,https://doi.org/10.3100/hpib.v26iss1.2021.n15
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",4,10.3100/hpib.v27iss1.2022.n18,10.3100/hpib.v27iss1.2022.n18,Index to New Names and Combinations,2022,journal-article,https://doi.org/10.3100/hpib.v27iss1.2022.n18
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",5,10.3100/hpib.v29iss2.2024.n16,10.3100/hpib.v29iss2.2024.n16,Index To New Names And Combinations,2024,journal-article,https://doi.org/10.3100/hpib.v29iss2.2024.n16
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",6,10.3100/hpib.v27iss2.2022.n12,10.3100/hpib.v27iss2.2022.n12,Index to New Names and Combinations,2022,journal-article,https://doi.org/10.3100/hpib.v27iss2.2022.n12
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",7,10.3100/hpib.v28iss2.2023.n12,10.3100/hpib.v28iss2.2023.n12,Index to New Names and Combinations,2023,journal-article,https://doi.org/10.3100/hpib.v28iss2.2023.n12
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",8,10.3100/hpib.v29iss1.2024.n20,10.3100/hpib.v29iss1.2024.n20,Index to New Names and Combinations,2024,journal-article,https://doi.org/10.3100/hpib.v29iss1.2024.n20
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",9,10.3100/hpib.v28iss1.2023.n18,10.3100/hpib.v28iss1.2023.n18,Index to New Names and Combinations,2023,journal-article,https://doi.org/10.3100/hpib.v28iss1.2023.n18
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",10,10.3100/hpib.v24iss1.2019.n12,10.3100/hpib.v24iss1.2019.n12,Index to New Names and Combinations,2019,journal-article,https://doi.org/10.3100/hpib.v24iss1.2019.n12
Crossref,Q04,"""new components"" ""new combinations"" scientific papers",11,10.3100/hpib.v24iss2.2019.n21,10.3100/hpib.v24iss2.2019.n21,Index to New Names and Combinations,2019,journal-article,https://doi.org/10.3100/hpib.v24iss2.2019.n21
