id,year,title,domain,primary_field,analysis_community,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,reference_count,source_dataset,legacy_is_landmark,reliable_anchor_source,anchor_policy,primary_topic,community,community_label,display_label,is_closure_node,domain_analysis_end_year,landmark_source
crispr::https://openalex.org/W1973260880,2013,Genome-Scale CRISPR-Cas9 Knockout Screening in Human Cells,crispr,Molecular Biology,35024081,35024081,0,,W1973260880,10.1126/science.1247005,5508,27,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2336828812,2016,Programmable editing of a target base in genomic DNA without double-stranded DNA cleavage,crispr,Molecular Biology,35024081,35024081,0,,W2336828812,10.1038/nature17946,5438,36,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2160051211,2013,Repurposing CRISPR as an RNA-Guided Platform for Sequence-Specific Control of Gene Expression,crispr,Molecular Biology,35024081,35024081,0,,W2160051211,10.1016/j.cell.2013.02.022,5167,30,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3119952098,2021,Natural products in drug discovery: advances and opportunities,crispr,Pharmacology,34920847,34920847,0,,W3119952098,10.1038/s41573-020-00114-z,4983,233,openalex_v3_query_core,0,,strict,Microbial Natural Products and Biosynthesis,34920847,Microbial Natural Products and Biosynthesis,Microbial Natural Products and Biosynthesis,0,2025,
crispr::https://openalex.org/W2252568502,2016,Optimized sgRNA design to maximize activity and minimize off-target effects of CRISPR-Cas9,crispr,Molecular Biology,35024081,35024081,0,,W2252568502,10.1038/nbt.3437,4975,54,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2036176224,2013,DNA targeting specificity of RNA-guided Cas9 nucleases,crispr,Molecular Biology,35024081,35024081,0,,W2036176224,10.1038/nbt.2647,4907,29,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2165869860,2015,Cpf1 Is a Single RNA-Guided Endonuclease of a Class 2 CRISPR-Cas System,crispr,Molecular Biology,35024081,35024081,0,,W2165869860,10.1016/j.cell.2015.09.038,4879,53,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W4327550249,2023,Evolutionary-scale prediction of atomic-level protein structure with a language model,crispr,Molecular Biology,34886004,34886004,0,,W4327550249,10.1126/science.ade2574,4874,64,openalex_v3_anchor_citer,0,,strict,Genomics and Phylogenetic Studies,34886004,Genomics and Phylogenetic Studies,Genomics and Phylogenetic Studies,0,2025,
crispr::https://openalex.org/W2981137429,2019,Search-and-replace genome editing without double-strand breaks or donor DNA,crispr,Molecular Biology,35024081,35024081,0,,W2981137429,10.1038/s41586-019-1711-4,4654,52,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3083241614,2020,Gut microbiota in human metabolic health and disease,crispr,Molecular Biology,34886660,34886660,0,,W3083241614,10.1038/s41579-020-0433-9,4544,221,openalex_v3_query_core,0,,strict,Gut microbiota and health,34886660,Gut microbiota and health,Gut microbiota and health,0,2025,
crispr::https://openalex.org/W2787024379,2018,CRISPR-Cas12a target binding unleashes indiscriminate single-stranded DNase activity,crispr,Molecular Biology,35024081,35024081,0,,W2787024379,10.1126/science.aar6245,4357,45,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2766599608,2017,Programmable base editing of A•T to G•C in genomic DNA without DNA cleavage,crispr,Molecular Biology,35024081,35024081,0,,W2766599608,10.1038/nature24644,4207,47,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3028523516,2020,A guide to cancer immunotherapy: from T cell basic science to clinical practice,crispr,Oncology,34903692,34903692,0,,W3028523516,10.1038/s41577-020-0306-5,4140,303,openalex_v3_query_core,0,,strict,Cancer Immunotherapy and Biomarkers,34903692,Cancer Immunotherapy and Biomarkers,Cancer Immunotherapy and Biomarkers,0,2025,
crispr::https://openalex.org/W2549188196,2016,ACSL4 dictates ferroptosis sensitivity by shaping cellular lipid composition,crispr,Pulmonary and Respiratory Medicine,37169467,37169467,0,,W2549188196,10.1038/nchembio.2239,4040,53,openalex_v3_anchor_citer,0,,strict,Ferroptosis and cancer prognosis,37169467,Ferroptosis and cancer prognosis,Ferroptosis and cancer prognosis,0,2025,
crispr::https://openalex.org/W2101749257,2013,CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes,crispr,Molecular Biology,35024081,35024081,0,,W2101749257,10.1016/j.cell.2013.06.044,3796,46,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2112444085,2013,"ZFN, TALEN, and CRISPR/Cas-based methods for genome engineering",crispr,Molecular Biology,35024081,35024081,0,,W2112444085,10.1016/j.tibtech.2013.04.004,3772,120,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3188940990,2021,Lipid nanoparticles for mRNA delivery,crispr,Molecular Biology,35006262,35006262,0,,W3188940990,10.1038/s41578-021-00358-0,3640,261,openalex_v3_query_core,0,,strict,RNA Interference and Gene Delivery,35006262,RNA Interference and Gene Delivery,RNA Interference and Gene Delivery,0,2025,
crispr::https://openalex.org/W2170039745,2013,One-Step Generation of Mice Carrying Mutations in Multiple Genes by CRISPR/Cas-Mediated Genome Engineering,crispr,Molecular Biology,35024081,35024081,0,,W2170039745,10.1016/j.cell.2013.04.025,3553,35,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2886785109,2018,Shifting the limits in wheat research and breeding using a fully annotated reference genome,crispr,Plant Science,35006391,35006391,0,,W2886785109,10.1126/science.aar7191,3374,190,openalex_v3_query_core,0,,strict,Wheat and Barley Genetics and Pathology,35006391,Wheat and Barley Genetics and Pathology,Wheat and Barley Genetics and Pathology,0,2025,
crispr::https://openalex.org/W2167380395,2013,Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity,crispr,Molecular Biology,35024081,35024081,0,,W2167380395,10.1016/j.cell.2013.08.021,3368,40,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2077659966,2013,High-frequency off-target mutagenesis induced by CRISPR-Cas nucleases in human cells,crispr,Molecular Biology,35024081,35024081,0,,W2077659966,10.1038/nbt.2623,3326,20,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2039705224,2014,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,Molecular Biology,35024081,35024081,0,,W2039705224,10.1038/nbt.2842,3178,103,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2039551908,2014,Non-viral vectors for gene-based therapy,crispr,Molecular Biology,35006262,35006262,0,,W2039551908,10.1038/nrg3763,3077,160,openalex_v3_anchor_citer,0,,strict,RNA Interference and Gene Delivery,35006262,RNA Interference and Gene Delivery,RNA Interference and Gene Delivery,0,2025,
crispr::https://openalex.org/W1976391205,2013,Efficient genome editing in zebrafish using a CRISPR-Cas system,crispr,Molecular Biology,35024081,35024081,0,,W1976391205,10.1038/nbt.2501,3003,24,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W4224436908,2022,Microbiota in health and diseases,crispr,Molecular Biology,34886660,34886660,0,,W4224436908,10.1038/s41392-022-00974-4,2954,419,openalex_v3_query_core,0,,strict,Gut microbiota and health,34886660,Gut microbiota and health,Gut microbiota and health,0,2025,
crispr::https://openalex.org/W2127862779,2014,Genome-scale transcriptional activation by an engineered CRISPR-Cas9 complex,crispr,Molecular Biology,35024081,35024081,0,,W2127862779,10.1038/nature14136,2935,53,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2063756105,2015,RASTtk: A modular and extensible implementation of the RAST algorithm for building custom annotation pipelines and annotating batches of genomes,crispr,Molecular Biology,34886004,34886004,0,,W2063756105,10.1038/srep08365,2891,39,openalex_v3_anchor_citer,0,,strict,Genomics and Phylogenetic Studies,34886004,Genomics and Phylogenetic Studies,Genomics and Phylogenetic Studies,0,2025,
crispr::https://openalex.org/W2100122648,2014,MAGeCK enables robust identification of essential genes from genome-scale CRISPR/Cas9 knockout screens,crispr,Molecular Biology,35024081,35024081,0,,W2100122648,10.1186/s13059-014-0554-4,2779,38,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2983166786,2019,The DisGeNET knowledge platform for disease genomics: 2019 update,crispr,Genetics,37237451,37237451,0,,W2983166786,10.1093/nar/gkz1021,2750,32,openalex_v3_query_core,0,,strict,Genomics and Rare Diseases,37237451,Genomics and Rare Diseases,Genomics and Rare Diseases,0,2025,
crispr::https://openalex.org/W4249579699,2019,Exosomes,crispr,Molecular Biology,35006915,35006915,0,,W4249579699,10.1146/annurev-biochem-013118-111902,2737,196,openalex_v3_query_core,0,,strict,Extracellular vesicles in disease,35006915,Extracellular vesicles in disease,Extracellular vesicles in disease,0,2025,
crispr::https://openalex.org/W2103230459,2015,The ubiquitin kinase PINK1 recruits autophagy receptors to induce mitophagy,crispr,Epidemiology,34972728,34972728,0,,W2103230459,10.1038/nature14893,2735,42,openalex_v3_anchor_citer,0,,strict,Autophagy in Disease and Therapy,34972728,Autophagy in Disease and Therapy,Autophagy in Disease and Therapy,0,2025,
crispr::https://openalex.org/W2070614858,2015,In vivo genome editing using Staphylococcus aureus Cas9,crispr,Molecular Biology,35024081,35024081,0,,W2070614858,10.1038/nature14299,2720,52,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2988773550,2019,A view on drug resistance in cancer,crispr,Cancer Research,37169336,37169336,0,,W2988773550,10.1038/s41586-019-1730-1,2718,200,openalex_v3_query_core,0,,strict,Cancer Genomics and Diagnostics,37169336,Cancer Genomics and Diagnostics,Cancer Genomics and Diagnostics,0,2025,
crispr::https://openalex.org/W2611138580,2017,Multi-omics approaches to disease,crispr,Molecular Biology,35024211,35024211,0,,W2611138580,10.1186/s13059-017-1215-1,2709,188,openalex_v3_query_core,0,,strict,Bioinformatics and Genomic Networks,35024211,Bioinformatics and Genomic Networks,Bioinformatics and Genomic Networks,0,2025,
crispr::https://openalex.org/W2224398381,2016,High-fidelity CRISPR–Cas9 nucleases with no detectable genome-wide off-target effects,crispr,Molecular Biology,35024081,35024081,0,,W2224398381,10.1038/nature16526,2693,49,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2520632143,2016,Wnt signaling in cancer,crispr,Molecular Biology,35040588,35040588,0,,W2520632143,10.1038/onc.2016.304,2659,213,openalex_v3_query_core,0,,strict,Wnt/β-catenin signaling in development and cancer,35040588,Wnt/β-catenin signaling in development and cancer,Wnt/β-catenin signaling in development and cancer,0,2025,
crispr::https://openalex.org/W2199695484,2015,An updated evolutionary classification of CRISPR–Cas systems,crispr,Molecular Biology,35024081,35024081,0,,W2199695484,10.1038/nrmicro3569,2569,118,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2106070783,2014,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,Molecular Biology,35024081,35024081,0,,W2106070783,10.1093/nar/gku936,2564,19,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2068205741,2014,The Noncoding RNA Revolution—Trashing Old Rules to Forge New Ones,crispr,Molecular Biology,34971936,34971936,0,,W2068205741,10.1016/j.cell.2014.03.008,2551,212,openalex_v3_anchor_citer,0,,strict,RNA and protein synthesis mechanisms,34971936,RNA and protein synthesis mechanisms,RNA and protein synthesis mechanisms,0,2025,
crispr::https://openalex.org/W2188223075,2015,Rationally engineered Cas9 nucleases with improved specificity,crispr,Molecular Biology,35024081,35024081,0,,W2188223075,10.1126/science.aad5227,2518,22,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2803479625,2018,CRISPOR: intuitive guide selection for CRISPR/Cas9 genome editing experiments and screens,crispr,Molecular Biology,35024081,35024081,0,,W2803479625,10.1093/nar/gky354,2505,14,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2000046950,2013,RNA-guided editing of bacterial genomes using CRISPR-Cas systems,crispr,Molecular Biology,35024081,35024081,0,,W2000046950,10.1038/nbt.2508,2502,51,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2995081665,2019,Evolutionary classification of CRISPR–Cas systems: a burst of class 2 and derived variants,crispr,Molecular Biology,35024081,35024081,0,,W2995081665,10.1038/s41579-019-0299-x,2462,110,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3039360174,2020,Cholangiocarcinoma 2020: the next horizon in mechanisms and management,crispr,Surgery,37186232,37186232,0,,W3039360174,10.1038/s41575-020-0310-z,2452,411,openalex_v3_query_core,0,,strict,Cholangiocarcinoma and Gallbladder Cancer Studies,37186232,Cholangiocarcinoma and Gallbladder Cancer Studies,Cholangiocarcinoma and Gallbladder Cancer Studies,0,2025,
crispr::https://openalex.org/W2115603949,2014,Cas-OFFinder: a fast and versatile algorithm that searches for potential off-target sites of Cas9 RNA-guided endonucleases,crispr,Molecular Biology,35024081,35024081,0,,W2115603949,10.1093/bioinformatics/btu048,2436,17,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W1963706689,2014,mRNA-based therapeutics — developing a new class of drugs,crispr,Molecular Biology,35006262,35006262,0,,W1963706689,10.1038/nrd4278,2411,258,openalex_v3_anchor_citer,0,,strict,RNA Interference and Gene Delivery,35006262,RNA Interference and Gene Delivery,RNA Interference and Gene Delivery,0,2025,
crispr::https://openalex.org/W2409671300,2016,C2c2 is a single-component programmable RNA-guided RNA-targeting CRISPR effector,crispr,Molecular Biology,35024081,35024081,0,,W2409671300,10.1126/science.aaf5573,2382,57,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W1982802227,2015,"A Robust CRISPR/Cas9 System for Convenient, High-Efficiency Multiplex Genome Editing in Monocot and Dicot Plants",crispr,Molecular Biology,35024081,35024081,0,,W1982802227,10.1016/j.molp.2015.04.007,2380,51,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2107959600,2014,Crystal Structure of Cas9 in Complex with Guide RNA and Target DNA,crispr,Molecular Biology,35024081,35024081,0,,W2107959600,10.1016/j.cell.2014.02.001,2348,77,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2601436215,2017,Circ-ZNF609 Is a Circular RNA that Can Be Translated and Functions in Myogenesis,crispr,Molecular Biology,37254877,37254877,0,,W2601436215,10.1016/j.molcel.2017.02.017,2343,53,openalex_v3_anchor_citer,0,,strict,Circular RNAs in diseases,37254877,Circular RNAs in diseases,Circular RNAs in diseases,0,2025,
crispr::https://openalex.org/W3017035840,2020,The physiology of plant responses to drought,crispr,Plant Science,34904081,34904081,0,,W3017035840,10.1126/science.aaz7614,2338,40,openalex_v3_query_core,0,,strict,Plant Molecular Biology Research,34904081,Plant Molecular Biology Research,Plant Molecular Biology Research,0,2025,
crispr::https://openalex.org/W2003797386,2014,GUIDE-seq enables genome-wide profiling of off-target cleavage by CRISPR-Cas nucleases,crispr,Molecular Biology,35024081,35024081,0,,W2003797386,10.1038/nbt.3117,2305,39,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3035764705,2020,"Genome editing with CRISPR–Cas nucleases, base editors, transposases and prime editors",crispr,Molecular Biology,35024081,35024081,0,,W3035764705,10.1038/s41587-020-0561-9,2282,453,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2989135569,2019,"Antibiotics: past, present and future",crispr,Pharmacology,34920847,34920847,0,,W2989135569,10.1016/j.mib.2019.10.008,2277,64,openalex_v3_query_core,0,,strict,Microbial Natural Products and Biosynthesis,34920847,Microbial Natural Products and Biosynthesis,Microbial Natural Products and Biosynthesis,0,2025,
crispr::https://openalex.org/W4313488537,2023,"Long non-coding RNAs: definitions, functions, challenges and recommendations",crispr,Cancer Research,34971809,34971809,0,,W4313488537,10.1038/s41580-022-00566-8,2234,459,openalex_v3_query_core,0,,strict,Cancer-related molecular mechanisms research,34971809,Cancer-related molecular mechanisms research,Cancer-related molecular mechanisms research,0,2025,
crispr::https://openalex.org/W2068619092,2014,Inflammatory caspases are innate immune receptors for intracellular LPS,crispr,Molecular Biology,37134884,37134884,0,,W2068619092,10.1038/nature13683,2211,42,openalex_v3_anchor_citer,0,,strict,Inflammasome and immune disorders,37134884,Inflammasome and immune disorders,Inflammasome and immune disorders,0,2025,
crispr::https://openalex.org/W2945567049,2019,CHOPCHOP v3: expanding the CRISPR web toolbox beyond genome editing,crispr,Molecular Biology,35024081,35024081,0,,W2945567049,10.1093/nar/gkz365,2208,32,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3015140168,2020,Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing,crispr,Molecular Biology,35006262,35006262,0,,W3015140168,10.1038/s41565-020-0669-6,2167,56,openalex_v3_anchor_citer,0,,strict,RNA Interference and Gene Delivery,35006262,RNA Interference and Gene Delivery,RNA Interference and Gene Delivery,0,2025,
crispr::https://openalex.org/W2735132087,2017,Computational correction of copy number effect improves specificity of CRISPR–Cas9 essentiality screens in cancer cells,crispr,Molecular Biology,35024081,35024081,0,,W2735132087,10.1038/ng.3984,2152,28,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2153344788,2013,RNA-programmed genome editing in human cells,crispr,Molecular Biology,35024081,35024081,0,,W2153344788,10.7554/elife.00471,2150,15,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3040646360,2020,Human organoids: model systems for human biology and medicine,crispr,Molecular Biology,34971678,34971678,0,,W3040646360,10.1038/s41580-020-0259-3,2125,218,openalex_v3_anchor_citer,0,,strict,Pluripotent Stem Cells Research,34971678,Pluripotent Stem Cells Research,Pluripotent Stem Cells Research,0,2025,
crispr::https://openalex.org/W3037105506,2020,Scientists' warning on invasive alien species,crispr,Ecological Modeling,35024340,35024340,0,,W3037105506,10.1111/brv.12627,2123,278,openalex_v3_query_core,0,,strict,Species Distribution and Climate Change,35024340,Species Distribution and Climate Change,Species Distribution and Climate Change,0,2025,
crispr::https://openalex.org/W2763042654,2017,RNA targeting with CRISPR–Cas13,crispr,Molecular Biology,35024081,35024081,0,,W2763042654,10.1038/nature24049,2104,32,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2805837749,2018,Efficient generation of mouse models of human diseases via ABE- and BE-mediated base editing,crispr,Molecular Biology,35024081,35024081,0,,W2805837749,10.1038/s41467-018-04768-7,2102,25,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2068427957,2013,Dynamic Imaging of Genomic Loci in Living Human Cells by an Optimized CRISPR/Cas System,crispr,Molecular Biology,35024081,35024081,0,,W2068427957,10.1016/j.cell.2013.12.001,2072,58,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2554763217,2017,CRISPR–Cas9 Structures and Mechanisms,crispr,Molecular Biology,35024081,35024081,0,,W2554763217,10.1146/annurev-biophys-062215-010822,2061,114,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W1972476556,2014,CRISPR-Cas9 Knockin Mice for Genome Editing and Cancer Modeling,crispr,Molecular Biology,35024081,35024081,0,,W1972476556,10.1016/j.cell.2014.09.014,2049,72,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W1980201684,2014,Simultaneous editing of three homoeoalleles in hexaploid bread wheat confers heritable resistance to powdery mildew,crispr,Molecular Biology,35024081,35024081,0,,W1980201684,10.1038/nbt.2969,2040,31,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W2108038398,2014,Improving CRISPR-Cas nuclease specificity using truncated guide RNAs,crispr,Molecular Biology,35024081,35024081,0,,W2108038398,10.1038/nbt.2808,2023,30,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
