feature_id,canonical_name_en,scope_role,maximum_information_time,formula_text,article_level,publication_time_computable,uses_future_information,english_fulltext_verified,dimension_id,dimension_mapping_provenance,recovery_provenance
EF0035,Author-authority cue,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD009,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0036,Author career age,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD007,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0037,Author career stage,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD007,session_exact_broad_t0,codex_session_log_structured_output
EF0038,Author count,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,1,CD010,session_exact_broad_t0,codex_session_log_structured_output
EF0039,Author country,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD006,session_exact_broad_t0,codex_session_log_structured_output
EF0040,Author-country development-level control,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD006,session_exact_broad_t0,codex_session_log_structured_output
EF0041,Author disciplinary diversity (DDA),direct_innovation,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD061,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0042,Author gender,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD009,session_exact_broad_t0,codex_session_log_structured_output
EF0043,Author identity cue,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD009,session_exact_broad_t0,codex_session_log_structured_output
EF0044,Author order predictor,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD009,session_exact_broad_t0,codex_session_log_structured_output
EF0045,Author publication history,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD007,session_exact_broad_t0,codex_session_log_structured_output
EF0046,Author-team ethnic diversity,direct_innovation,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD061,session_exact_broad_t0,codex_session_log_structured_output
EF0047,Author tenure status,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD007,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0048,Author-tenure-status adjustment covariate,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD010,session_exact_broad_t0,codex_session_log_structured_output
EF0049,Author-topic-expertise-proximity predictor,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD007,session_exact_broad_t0,codex_session_log_structured_output
EF0050,Authorship characteristics,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD009,session_exact_broad_t0,codex_session_log_structured_output
EF0051,Authorship-country opportunity context,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD008,session_exact_broad_t0,codex_session_log_structured_output
EF0052,Backward-citation age,t0_substantive,T0,Age distribution of works cited by the focal article.,1,1,0,1,CD045,session_exact_broad_t0,codex_session_log_structured_output
EF0053,Basic/applied research control,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD048,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0054,Between-study heterogeneity,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD057,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0055,Bibliometric indicator,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0056,Biological justification,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD019,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0057,Biological plausibility,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD019,session_exact_broad_t0,codex_session_log_structured_output
EF0058,Biomedical study-subject context,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD057,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0059,Blinded outcome assessment,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD037,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0060,Blinded peer-review process,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD038,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0061,Boolean search specification,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD037,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0062,Case-report clinical content,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD019,session_exact_broad_t0,codex_session_log_structured_output
EF0063,Centre-of-Excellence funding/affiliation,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD027,session_exact_broad_t0,codex_session_log_structured_output
EF0064,CHEERS reporting adherence,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD047,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0065,Citation bias,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD011,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0066,Citation-context category,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0067,Citation integrity,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0068,Citation metadata-error type,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0069,Citation-motive taxonomy,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0070,Citation-network neighborhood,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD012,session_exact_broad_t0,codex_session_log_structured_output
EF0071,Citation-reason category,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0072,Citation structural diversity,direct_innovation,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0073,Cited-knowledge-recency predictor,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD045,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0074,Cited-reference disciplinary composition,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD044,session_exact_broad_t0,codex_session_log_structured_output
EF0075,Cited-reference prior impact,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD046,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0076,Clinical research status,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD057,session_exact_broad_t0,codex_session_log_structured_output
EF0077,Co-authorship,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD014,session_exact_broad_t0,codex_session_log_structured_output
EF0078,Co-authorship network structure,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD015,session_exact_broad_t0,codex_session_log_structured_output
EF0079,Coauthor career-age difference,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD014,session_exact_broad_t0,codex_session_log_structured_output
EF0080,Coauthorship-network centrality,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD015,session_exact_broad_t0,codex_session_log_structured_output
EF0081,Collaboration heterogeneity,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD015,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0082,Collaboration-network algebraic connectivity,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD015,session_exact_broad_t0,codex_session_log_structured_output
EF0083,Collaboration-network clustering coefficient,t0_opportunity,T0,C_i = 2T(i) / [k_i(k_i - 1)].,1,1,0,1,CD015,session_exact_broad_t0,codex_session_log_structured_output
EF0084,Collaboration-network eigenvector centrality,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD015,session_exact_broad_t0,codex_session_log_structured_output
EF0085,Collaboration-network knowledge density,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD015,session_exact_broad_t0,codex_session_log_structured_output
EF0086,Collaboration type,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD014,session_exact_broad_t0,codex_session_log_structured_output
EF0087,Conference/meeting venue,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD041,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0088,Conference presentation format,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0089,Conflict-of-interest disclosure,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD020,session_exact_broad_t0,codex_session_log_structured_output
EF0090,Confounding,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD016,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0091,Confounding by indication,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD016,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0092,Confounding control,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD016,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0093,CONSORT reporting adherence,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD047,session_exact_broad_t0,codex_session_log_structured_output
EF0094,Construct validity,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD033,session_exact_broad_t0,codex_session_log_structured_output
EF0095,Core outcome set,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD037,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0096,Corresponding-authorship status,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD009,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0097,Country-field stratum,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD063,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0098,Country similarity,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD033,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0099,COVID-19 topic,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD065,session_exact_broad_t0,codex_session_log_structured_output
EF0100,Criterion-measure-use indicator,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0101,Data-access restriction control,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD017,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0102,Data accessibility,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD018,session_exact_broad_t0,codex_session_log_structured_output
EF0103,Data availability,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0104,Data-availability statement category,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0105,Data-availability statement presence,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0106,Data findability and reusability,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD018,session_exact_broad_t0,codex_session_log_structured_output
EF0107,Data format,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD017,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0108,Data licensing,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD017,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0109,Data-reuse documentation,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD018,session_exact_broad_t0,codex_session_log_structured_output
EF0110,De-implementation recommendation,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD019,session_exact_broad_t0,codex_session_log_structured_output
EF0111,Dense prose style,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD053,session_exact_broad_t0,codex_session_log_structured_output
EF0112,Diagnostic-estimate extremity,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0113,Diagnostic-tool accuracy,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD033,session_exact_broad_t0,codex_session_log_structured_output
EF0114,Digital dissemination channel,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD004,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0115,Disciplinary diversity,direct_innovation,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD029,session_exact_broad_t0,codex_session_log_structured_output
EF0116,Disciplinary terminology,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD053,session_exact_broad_t0,codex_session_log_structured_output
EF0117,DIV interdisciplinarity,direct_innovation,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD029,session_exact_broad_t0,codex_session_log_structured_output
EF0118,Document type,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD066,session_exact_broad_t0,codex_session_log_structured_output
EF0119,DOI-presence opportunity context,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD065,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0120,Early-access timing,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD017,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0121,Economic-evaluation presence,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD019,session_exact_broad_t0,codex_session_log_structured_output
EF0122,Economic value-for-money measure,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD015,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0123,Economics writing style,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD053,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0124,Educational setting,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD057,session_exact_broad_t0,codex_session_log_structured_output
EF0125,Effect size,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD055,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0126,Ego-centric coauthorship network,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD015,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0127,Empirical-study status,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD057,session_exact_broad_t0,codex_session_log_structured_output
EF0128,Endpoint-assessment breadth,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD037,session_exact_broad_t0,codex_session_log_structured_output
EF0129,Entropy balance component,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD031,session_exact_broad_t0,codex_session_log_structured_output
EF0130,Entropy variety component,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD031,session_exact_broad_t0,codex_session_log_structured_output
EF0131,Evaluated study-design attributes,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD056,session_exact_broad_t0,codex_session_log_structured_output
EF0132,Evaluation criteria,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD021,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0133,Evidence applicability,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD022,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0134,Evidence consistency,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD022,session_exact_broad_t0,codex_session_log_structured_output
EF0135,Evidence directness,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD022,session_exact_broad_t0,codex_session_log_structured_output
EF0136,Evidence dose-response,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD022,session_exact_broad_t0,codex_session_log_structured_output
EF0137,Evidence generalizability,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD022,session_exact_broad_t0,codex_session_log_structured_output
EF0138,Evidence relevance,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD022,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0139,Evidence reliability,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD022,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0140,Evidence-strength level,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD022,session_exact_broad_t0,codex_session_log_structured_output
EF0141,Experimental control,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD046,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0142,Experimental platform,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD046,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0143,Experimental scalability,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD022,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0144,Experimental study design,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD057,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0145,Exposure identification validity,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD033,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0146,External validity,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD033,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0147,Field citation intensity,context_control,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD013,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0148,Field-year normalization stratum,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD063,session_exact_broad_t0,codex_session_log_structured_output
EF0149,Firm affiliation,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD027,session_exact_broad_t0,codex_session_log_structured_output
EF0150,First-author career experience,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD007,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0151,First-author primary-language predictor,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD008,session_exact_broad_t0,codex_session_log_structured_output
EF0152,Focused review question,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD038,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0153,Fragility Index,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD006,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0154,Funding availability,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0155,Funding duration,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD024,session_exact_broad_t0,codex_session_log_structured_output
EF0156,Funding intensity,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD023,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0157,Funding-source category,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD024,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0158,Funding-source reporting,t0_opportunity,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD024,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0159,Funding status,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD024,session_exact_broad_t0,codex_session_log_structured_output
EF0160,Funding status/source,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD024,session_exact_broad_t0,codex_session_log_structured_output
EF0161,Generalist interdisciplinarity,direct_innovation,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD028,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0162,Gold-standard comparison,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD033,session_exact_broad_t0,codex_session_log_structured_output
EF0163,Hardy-Weinberg-equilibrium reporting/testing,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD047,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
