id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community,community_label,display_label,domain_analysis_end_year
crispr::https://openalex.org/W2018786123,2000,Activation of Guide RNA-directed Editing of a Cytochromeb mRNA,crispr,Rna / Trypanosoma,4,0,,W2018786123,10.1074/jbc.m003002200,10,Trypanosoma species research and implications,4,Rna / Trypanosoma,,2024
crispr::https://openalex.org/W1553130207,2000,Dog eat dogma.,crispr,Rna / Silencing,729,0,,W1553130207,10.1186/gb-2000-1-2-comment1002,9,Evolution and Science Education,729,Rna / Silencing,,2024
crispr::https://openalex.org/W2056320866,2000,Redundant and non-functional guide RNA genes in Trypanosoma brucei are a consequence of multiple genes per minicircle,crispr,Rna / Trypanosoma,4,0,,W2056320866,10.1016/s0378-1119(00)00345-0,7,Trypanosoma species research and implications,4,Rna / Trypanosoma,,2024
crispr::https://openalex.org/W33637692,2000,As ilusoes da modernidade,crispr,Modernidade / Ilusoes Modernidade,77,0,,W33637692,10.1038/s41419-021-03515-z,7,Social and Economic Solidarity,77,Modernidade / Ilusoes Modernidade,,2024
crispr::https://openalex.org/W32582689,2000,Evaluation of Hepatitis B Antibody (HBS) Levels in Nursing Staff Of Gaemshahr Razi Hospital and it’s Variation With Duration Of Immunity Post HB Vaccination.,crispr,Hepatitis / Vaccination,78,0,,W32582689,10.3389/fcell.2020.00358,7,Hepatitis B Virus Studies,78,Hepatitis / Vaccination,,2024
crispr::https://openalex.org/W39420380,2000,"Structure, Function, and Dynamics: An Integrated Approach to Neural Organization",crispr,Neural / Function,80,0,,W39420380,10.1186/s13007-024-01270-8,7,Neural Networks and Applications,80,Neural / Function,,2024
crispr::https://openalex.org/W4297193437,2000,Development of Artificial Ribonucleases Using Macrocyclic Lanthanide Complexes,crispr,Lanthanide / Complexes,82,0,,W4297193437,10.2533/chimia.2000.569,7,DNA and Nucleic Acid Chemistry,82,Lanthanide / Complexes,,2024
crispr::https://openalex.org/W2132025860,2000,Wiregrass Propagation at the Andrews Nursery in Florida,crispr,Wiregrass Propagation / Wiregrass,89,0,,W2132025860,10.3368/npj.1.1.45,5,Cancer Cells and Metastasis,89,Wiregrass Propagation / Wiregrass,,2024
crispr::https://openalex.org/W35327610,2000,Dinámica industrial y sistema de innovación en Galicia,crispr,Sistema Galicia / Sistema,93,0,,W35327610,10.3390/biom12030417,5,Regional Development and Innovation,93,Sistema Galicia / Sistema,,2024
crispr::https://openalex.org/W2079307363,2000,The Importance of Autonomic Nervous System Function for Theories of Cognitive Brain Function,crispr,Function / Autonomic,96,0,,W2079307363,10.1006/brcg.1999.1171,4,Pluripotent Stem Cells Research,96,Function / Autonomic,,2024
crispr::https://openalex.org/W2031026616,2000,RESEARCH NOTE A Novel Starch Granule-bound Protein in Endosperm of Wheat,crispr,Starch / Endosperm,99,0,,W2031026616,10.1006/jcrs.2000.0335,4,Food composition and properties,99,Starch / Endosperm,,2024
crispr::https://openalex.org/W33648534,2000,Simulation-Based Approach for Semiconductor Fab-Level Decision Making - Implementation Issues,crispr,Simulation-Based / Semiconductor…,114,0,,W33648534,10.1186/s13046-021-01874-1,3,Scheduling and Optimization Algorithms,114,Simulation-Based / Semiconductor…,,2024
crispr::https://openalex.org/W36260301,2000,The Martian North Polar Cap: Sedimentary Aspects,crispr,Sedimentary / Polar,121,0,,W36260301,10.1089/crispr.2022.0051,2,Planetary Science and Exploration,121,Sedimentary / Polar,,2024
crispr::https://openalex.org/W2062968253,2000,"Selective toxicity, side effects and resistance",crispr,Resistance / Toxicity,145,0,,W2062968253,10.1016/s0924-8579(00)00154-0,1,CRISPR and Genetic Engineering,145,Resistance / Toxicity,,2024
crispr::https://openalex.org/W33611153,2000,Taking “STOCK” of pedagogical content knowledge in science education,crispr,Education / Content,147,0,,W33611153,10.1016/j.ttbdis.2021.101685,1,Science Education and Pedagogy,147,Education / Content,,2024
crispr::https://openalex.org/W25889405,2000,La articulación de valores organizativos desde recursos humanos,crispr,Valores Organizativos / Valores,156,0,,W25889405,10.1186/s12916-015-0316-5,1,Organizational Management and Innovation,156,Valores Organizativos / Valores,,2024
crispr::https://openalex.org/W35455950,2000,Wilhelm Wundt's Influence on Japanese Psychology,crispr,Psychology / Wundt Influence,161,0,,W35455950,10.3390/cells11081269,1,Academic and Historical Perspectives in Psychology,161,Psychology / Wundt Influence,,2024
crispr::https://openalex.org/W35085106,2000,Un repertorio romancístico de la montaña de Palencia. Victorina Ramasco de Santa María de Redondo (La Pernía),crispr,Victorina Ramasco / Victorina,167,0,,W35085106,10.1172/jci152394,1,Archaeological and Historical Studies,167,Victorina Ramasco / Victorina,,2024
crispr::https://openalex.org/W37169965,2000,Problemas de frontera para ecuaciones diferenciales con impulsos,crispr,Differential Equations / Differen…,171,0,,W37169965,10.1038/s41587-023-01782-z,1,Differential Equations and Numerical Methods,171,Differential Equations / Differen…,,2024
crispr::https://openalex.org/W31502396,2000,Auf Sand gebaut. Anselm Kiefers Antrag zur Geschwisterschaft an Ingeborg Bachmann,crispr,Zur Geschwisterschaft / Zur,175,0,,W31502396,10.1002/pmic.201800491,1,German Literature and Culture Studies,175,Zur Geschwisterschaft / Zur,,2024
crispr::https://openalex.org/W37233666,2000,"Exhaust Aftertreatment, Gas Phase Measurements in situ",crispr,Situ / Gas Phase,176,0,,W37233666,10.3390/metabo13050625,1,Smart Materials for Construction,176,Situ / Gas Phase,,2024
crispr::https://openalex.org/W4231113323,2000,Untitled,crispr,Indel / Synthesis Mechanisms,178,0,,W4231113323,10.1016/s1240-1307(00)80034-5,0,CRISPR and Genetic Engineering,178,Indel / Synthesis Mechanisms,,2024
crispr::https://openalex.org/W2922504625,2000,The evolution of minicircles and guide RNAs in Trypanosomes,crispr,Trypanosomes / Rnas,182,0,,W2922504625,10.1042/bst028a481,0,Trypanosoma species research and implications,182,Trypanosomes / Rnas,,2024
crispr::https://openalex.org/W2623027757,2000,Untitled,crispr,Rna / Splicing Muscle,184,0,,W2623027757,10.1016/s1240-1307(00)88831-7,0,CRISPR and Genetic Engineering,184,Rna / Splicing Muscle,,2024
crispr::https://openalex.org/W32271547,2000,"スポーツウェア用編地の放熱特性, および肌離れ性に関する研究 : 第2報:運動時の体温変化に及ぼす影響",crispr,Genetics Biotechnology / Genetics,192,0,,W32271547,10.1021/acssynbio.9b00489,0,CRISPR and Genetic Engineering,192,Genetics Biotechnology / Genetics,,2024
crispr::https://openalex.org/W2922169181,2000,Molecular cloning and characterization of two guide RNA binding proteins from <i>Crithidia fasciculata</i> mitochondria,crispr,Rna Binding / Rna,195,0,,W2922169181,10.1042/bst028a484a,0,Insect Resistance and Genetics,195,Rna Binding / Rna,,2024
crispr::https://openalex.org/W32035346,2000,Los padres que aman demasiado,crispr,Que / Que Aman,197,0,,W32035346,10.1016/j.copbio.2019.12.027,0,Social Sciences and Policies,197,Que / Que Aman,,2024
crispr::https://openalex.org/W2750560953,2000,Untitled,crispr,Untitled / Techniques Single-Cell,203,0,,W2750560953,10.1016/s1240-1307(00)88829-9,0,CRISPR and Genetic Engineering,203,Untitled / Techniques Single-Cell,,2024
crispr::https://openalex.org/W24984260,2000,Seed ageing on hybrid seed production in maize (Zea mays).,crispr,Seed / Zea,208,0,,W24984260,10.1016/j.ydbio.2014.06.017,0,Crop Yield and Soil Fertility,208,Seed / Zea,,2024
crispr::https://openalex.org/W29461055,2000,"La filosofía jurídica de M. Reale, una visión integral del derecho",crispr,Derecho / Una Integral,222,0,,W29461055,10.1021/jacs.7b13050,0,Comparative constitutional jurisprudence studies,222,Derecho / Una Integral,,2024
crispr::https://openalex.org/W30792186,2000,Derecho privado de la informática,crispr,Privado / Derecho Privado,228,0,,W30792186,10.1084/jem.20180823,0,Data Privacy and Cybersecurity,228,Privado / Derecho Privado,,2024
crispr::https://openalex.org/W4233999521,2000,Two new books on equine reproduction by CABI,crispr,Reproduction / Reproduction Cabi,229,0,,W4233999521,10.1016/s0737-0806(00)70407-2,0,Animal Genetics and Reproduction,229,Reproduction / Reproduction Cabi,,2024
crispr::https://openalex.org/W29242584,2000,A estruturação concelhia do Condado Portucalense - D. Henrique,crispr,Portucalense Henrique / Portucale…,230,0,,W29242584,10.1038/s41598-017-17898-7,0,Urban Development and Societal Issues,230,Portucalense Henrique / Portucale…,,2024
crispr::https://openalex.org/W31754407,2000,"造就美国,日本,德国企业成功的卓越文化理念",crispr,Repair Mechanisms / Repair,247,0,,W31754407,10.1186/s41021-019-0134-7,0,Carcinogens and Genotoxicity Assessment,247,Repair Mechanisms / Repair,,2024
crispr::https://openalex.org/W38318136,2000,29) たこつぼ様心筋障害の2例 : 右室造影と心筋生検像,crispr,Cancer / Treatment Research,250,0,,W38318136,10.3389/fphar.2024.1331648,0,Prostate Cancer Treatment and Research,250,Cancer / Treatment Research,,2024
crispr::https://openalex.org/W30296940,2000,Магнитно-резонансная томография в диагностике медуллобластом задней черепной ямки,crispr,Resonance / Magnetic,259,0,,W30296940,10.1186/s13059-018-1538-6,0,Glioma Diagnosis and Treatment,259,Resonance / Magnetic,,2024
crispr::https://openalex.org/W24765574,2000,Internet: esperanza y confusión,crispr,Internet Esperanza / Esperanza,260,0,,W24765574,10.7717/peerj.340,0,Media and Digital Communication,260,Internet Esperanza / Esperanza,,2024
crispr::https://openalex.org/W37827669,2000,La tonalidad mariana de Císter,crispr,Tonalidad Mariana / Tonalidad,263,0,,W37827669,10.1016/j.aca.2023.341769,0,Spanish Literature and Culture Studies,263,Tonalidad Mariana / Tonalidad,,2024
crispr::https://openalex.org/W36731397,2000,El bodegón: solaz de los pícaros,crispr,Solaz / Los,264,0,,W36731397,10.1016/j.bios.2023.115109,0,Archaeological and Historical Studies,264,Solaz / Los,,2024
crispr::https://openalex.org/W36323673,2000,子どもの感性を育てる教育について(その4) : シュタイナー幼稚園における「季節のサークル遊び」を中心として,crispr,Research / Splicing Geology,310,0,,W36323673,10.1038/s41467-022-34252-2,0,Cancer-related molecular mechanisms research,310,Research / Splicing Geology,,2024
crispr::https://openalex.org/W38606287,2000,2K-GM/JT冷凍機の開発(1) : システム設計,crispr,Staphylococcus Bioinformati… / St…,316,0,,W38606287,10.3389/fmolb.2024.1381334,0,Antimicrobial Resistance in Staphylococcus,316,Staphylococcus Bioinformati… / St…,,2024
crispr::https://openalex.org/W36153338,2000,COAL FLY ASH IN STONE MASTIC ASPHALT. INFLUENCE ON WORKING CONDITIONS AND ENVIRONMENTAL IMPACTS,crispr,Asphalt / Fly,317,0,,W36153338,10.1038/s41467-022-33366-x,0,Asphalt Pavement Performance Evaluation,317,Asphalt / Fly,,2024
crispr::https://openalex.org/W37828578,2000,Effects of talocrural mobilisation on ankle dorsiflexion in normals,crispr,Rna / Dna,708,0,,W37828578,10.1186/s12964-023-01317-8,0,Foot and Ankle Surgery,708,Rna / Dna,,2024
crispr::https://openalex.org/W34668483,2000,Espacio público europeo y patriotismo constitucional en Habermas,crispr,Patriotismo / Patriotismo Constit…,327,0,,W34668483,10.7554/elife.71473,0,Human Rights and Immigration,327,Patriotismo / Patriotismo Constit…,,2024
crispr::https://openalex.org/W36631218,2000,1219 動脈拍動流の重峰性パルス応答に関する流体 : 構造連成系有限要素解析,crispr,Tgf- Signaling / Tgf-,334,0,,W36631218,10.26508/lsa.202201662,0,TGF-β signaling in diseases,334,Tgf- Signaling / Tgf-,,2024
crispr::https://openalex.org/W34771447,2000,Editorial al tomo 0 del Anuario Español de Derecho Internacional Privado,crispr,Tomo Del / Tomo,342,0,,W34771447,10.3390/cancers13215284,0,Comparative constitutional jurisprudence studies,342,Tomo Del / Tomo,,2024
crispr::https://openalex.org/W35915085,2000,Scaling of single-electron tunneling current through ultrasmall tunnel junction,crispr,Tunnel Junction / Scaling,352,0,,W35915085,10.1038/s41467-022-32130-5,0,Quantum and electron transport phenomena,352,Tunnel Junction / Scaling,,2024
crispr::https://openalex.org/W27102165,2000,Turn-taking in a Japanese EFL classroom : What kind of backchannels work in a discussion activity?,crispr,Work / Turn-Taking,356,0,,W27102165,10.3390/ijms17030415,0,"Language, Discourse, Communication Strategies",356,Work / Turn-Taking,,2024
crispr::https://openalex.org/W36973278,2000,Memoria de un hombre de acción.,crispr,Memoria Hombre / Memoria,357,0,,W36973278,10.1038/s41467-023-37342-x,0,"Memory, violence, and history",357,Memoria Hombre / Memoria,,2024
crispr::https://openalex.org/W38331934,2000,Le projet DECIDoc: un premier bilan,crispr,Bilan / Decidoc,358,0,,W38331934,10.1038/s41467-024-45121-5,0,"Public Administration, ICT, and Policy Development",358,Bilan / Decidoc,,2024
crispr::https://openalex.org/W31447476,2000,Doubly Resonant Frequency Domain Vibrational Spectroscopy,crispr,Spectroscopy / Frequency,364,0,,W31447476,10.1262/jrd.2019-042,0,Acoustic Wave Resonator Technologies,364,Spectroscopy / Frequency,,2024
crispr::https://openalex.org/W35732695,2000,Contemporaneidad frente a tradición,crispr,Contemporaneidad Frente / Contemp…,365,0,,W35732695,10.1038/s41380-022-01660-1,0,Cultural and Mythological Studies,365,Contemporaneidad Frente / Contemp…,,2024
crispr::https://openalex.org/W33637558,2000,Bacteria gold interactions,crispr,Bacteria / Interactions,370,0,,W33637558,10.1523/jneurosci.2738-20.2021,0,Chromium effects and bioremediation,370,Bacteria / Interactions,,2024
crispr::https://openalex.org/W39191765,2000,1.Olympus OME8000の使用経験 : 利点・問題点とその実地検討,crispr,Olympus / Research,376,0,,W39191765,10.1038/s41467-024-51738-3,0,Immune Response and Inflammation,376,Olympus / Research,,2024
crispr::https://openalex.org/W37389212,2000,A Simulation Methodology for System Level Optimisation,crispr,Simulation / Simulation Methodolo…,377,0,,W37389212,10.3389/fcimb.2023.1130197,0,Embedded Systems Design Techniques,377,Simulation / Simulation Methodolo…,,2024
crispr::https://openalex.org/W36179026,2000,あだなる男、色好み、二心ある人--光源氏の言語行為と沈黙する紫の上 (テクストツアー 源氏物語ファイル) -- (若菜下の巻のテクスト),crispr,Treatment Business / Therapy Rese…,382,0,,W36179026,10.1126/sciadv.abo0514,0,Immune Cell Function and Interaction,382,Treatment Business / Therapy Rese…,,2024
crispr::https://openalex.org/W34907395,2000,Die Souveränität der Asthetik. Georges Bataille an der Grenze der Wissenschaft,crispr,Der / Bataille Der,392,0,,W34907395,10.1038/s41380-021-01394-6,0,French Literature and Criticism,392,Der / Bataille Der,,2024
crispr::https://openalex.org/W39438459,2000,Red GPS Fiduciaria Nacional de España,crispr,Gps Fiduciaria / Nacional,393,0,,W39438459,10.1038/s41419-024-07151-1,0,Environmental and Ecological Studies,393,Gps Fiduciaria / Nacional,,2024
crispr::https://openalex.org/W33889136,2000,Estereotipos por razón de género en el autoconocimiento y autoeficacia profesional,crispr,Profesional / Autoconocimiento Au…,401,0,,W33889136,10.3389/fmicb.2021.630121,0,Education and Labor Relations,401,Profesional / Autoconocimiento Au…,,2024
crispr::https://openalex.org/W34709406,2000,Agricultura ultima su plan trianual para el seguro agrario,crispr,Plan / Ultima Plan,404,0,,W34709406,10.1042/cs20190654,0,Agricultural and Food Production Studies,404,Plan / Ultima Plan,,2024
crispr::https://openalex.org/W34939315,2000,Plug-ins para 3D Studio MAX 2.5 & 3,crispr,Studio / Studio Max,407,0,,W34939315,10.1111/acel.13517,0,Augmented Reality Applications,407,Studio / Studio Max,,2024
crispr::https://openalex.org/W38540351,2000,Teaching mathematics through national lotteries,crispr,Mathematics / Teaching,411,0,,W38540351,10.3390/genes15030290,0,Mathematics Education and Programs,411,Mathematics / Teaching,,2024
crispr::https://openalex.org/W1484888433,2000,De la muerte de Dios o el silencio de la filosofía,crispr,Silencio / Dios,417,0,,W1484888433,10.1371/journal.pone.0206055,0,Philosophical and Cultural Analysis,417,Silencio / Dios,,2024
crispr::https://openalex.org/W38240578,2000,698 足関節内反不安定性と足関節内反角度の測定結果の関連性(測定・評価),crispr,Viral / Research,420,0,,W38240578,10.1002/advs.202305818,0,Bacteriophages and microbial interactions,420,Viral / Research,,2024
crispr::https://openalex.org/W30815322,2000,"3.津波の発生メカニズムはどこまでわかったか?(チリ津波40周年 : 何をもたらし, 何がかわったか?)",crispr,Synthesis Applications / Synthesis,435,0,,W30815322,10.1007/s10068-018-0446-6,0,Biopolymer Synthesis and Applications,435,Synthesis Applications / Synthesis,,2024
crispr::https://openalex.org/W33815305,2000,Fuero concedido por Alfonso VIII a la aljama henbrea de Haro,crispr,Haro / Viii,441,0,,W33815305,10.3389/fmicb.2021.604662,0,Historical Studies of Medieval Iberia,441,Haro / Viii,,2024
crispr::https://openalex.org/W34248996,2000,La agricultura biológica,crispr,Agricultura / Soil Sciences,442,0,,W34248996,10.3389/fimmu.2021.696605,0,Plant and soil sciences,442,Agricultura / Soil Sciences,,2024
crispr::https://openalex.org/W36993251,2000,"Què tenim, què necessitem?",crispr,Tenim Necessitem / Tenim,447,0,,W36993251,10.21203/rs.3.rs-2679520/v1,0,Developmental and Educational Neuropsychology,447,Tenim Necessitem / Tenim,,2024
crispr::https://openalex.org/W37744308,2000,Implementing Parameterized Range Types in an Extensible DBMS,crispr,Range / Parameterized,452,0,,W37744308,10.1016/j.jtocrr.2023.100562,0,Advanced Database Systems and Queries,452,Range / Parameterized,,2024
crispr::https://openalex.org/W37410912,2000,Leadership in Friends schools: The experiences of school heads,crispr,Education / Schools,460,0,,W37410912,10.1093/brain/awad228,0,Diverse Education Studies and Reforms,460,Education / Schools,,2024
crispr::https://openalex.org/W38137424,2000,2000/2004 Cuatro años de gran impulso al campo,crispr,Cuatro / Gran,462,0,,W38137424,10.3390/biomedicines11123205,0,Renewable Energy and Sustainability,462,Cuatro / Gran,,2024
crispr::https://openalex.org/W37345086,2000,La verdad de Enric Valor,crispr,Verdad Enric / Verdad,463,0,,W37345086,10.3390/cancers15102749,0,Medieval European Literature and History,463,Verdad Enric / Verdad,,2024
crispr::https://openalex.org/W4411618656,2000,10.51847/dkJGP1l,crispr,Disease / Covid-19,465,0,,W4411618656,10.51847/dkjgp1l,0,SARS-CoV-2 and COVID-19 Research,465,Disease / Covid-19,,2024
crispr::https://openalex.org/W34072862,2000,地下方式・新交通システムの採算性等についての検討 (特集/モノレールの新技術の開発),crispr,Neurodegenerative Diseases / Neur…,469,0,,W34072862,10.3390/ijms22115911,0,Genetic Neurodegenerative Diseases,469,Neurodegenerative Diseases / Neur…,,2024
crispr::https://openalex.org/W33752440,2000,41510 東北地方における業務建物のエネルギー消費判定基準の作成 : 東北地方における建築物のエネルギー消費実態に関する調査研究,crispr,Research / Molecular,470,0,,W33752440,10.1146/annurev-arplant-093020-035446,0,Plant Molecular Biology Research,470,Research / Molecular,,2024
crispr::https://openalex.org/W1553677701,2000,Mechanism and evolution of RNA editing in kinetoplastids,crispr,Rna / Mechanism,479,0,,W1553677701,,0,CRISPR and Genetic Engineering,479,Rna / Mechanism,,2024
crispr::https://openalex.org/W37446064,2000,"Predicting coal ash slag characteristics (viscosity model in the A12O3-CaO-""FeO""-SiO2 system)",crispr,Coal / Slag,481,0,,W37446064,10.3390/ijms241310888,0,Metallurgical Processes and Thermodynamics,481,Coal / Slag,,2024
crispr::https://openalex.org/W39239742,2000,Semillas ecológicas en Europa,crispr,Semillas / Europa,482,0,,W39239742,10.3892/mmr.2024.13324,0,Historical and socio-economic studies of Spain and related regions,482,Semillas / Europa,,2024
crispr::https://openalex.org/W2117991391,2001,Role for a bidentate ribonuclease in the initiation step of RNA interference,crispr,Rna / Silencing,729,0,,W2117991391,10.1038/35053110,4874,Plant Virus Research Studies,729,Rna / Silencing,,2024
crispr::https://openalex.org/W2152993806,2001,RNA interference is mediated by 21- and 22-nucleotide RNAs,crispr,Rna / Silencing,729,0,,W2152993806,10.1101/gad.862301,3303,RNA Interference and Gene Delivery,729,Rna / Silencing,,2024
crispr::https://openalex.org/W2154841861,2001,Genes and Mechanisms Related to RNA Interference Regulate Expression of the Small Temporal RNAs that Control C. elegans Developmental Timing,crispr,Rna / Silencing,729,0,,W2154841861,10.1016/s0092-8674(01)00431-7,1871,RNA Research and Splicing,729,Rna / Silencing,,2024
crispr::https://openalex.org/W2165804743,2001,Dicer functions in RNA interference and in synthesis of small RNA involved in developmental timing in <i>C. elegans</i>,crispr,Rna / Silencing,729,0,,W2165804743,10.1101/gad.927801,1791,CRISPR and Genetic Engineering,729,Rna / Silencing,,2024
