feature_id,canonical_name_en,scope_role,final_role,dimension_id,dimension_role,tier
EF0108,Data licensing,t0_substantive,,CD017,context_control,excluded
EF0109,Data-reuse documentation,t0_substantive,,CD018,t0_potential,source_only
EF0110,De-implementation recommendation,t0_substantive,,CD019,t0_potential,broad_t0_only
EF0111,Dense prose style,t0_substantive,,CD053,t0_potential,source_only
EF0112,Diagnostic-estimate extremity,t0_substantive,,CD013,t0_potential,excluded
EF0113,Diagnostic-tool accuracy,t0_substantive,,CD033,sensitivity,source_only
EF0114,Digital dissemination channel,t0_opportunity,,CD004,opportunity,excluded
EF0115,Disciplinary diversity,direct_innovation,,CD029,substantive_innovation,broad_t0_only
EF0116,Disciplinary terminology,t0_substantive,,CD053,t0_potential,source_only
EF0117,DIV interdisciplinarity,direct_innovation,,CD029,substantive_innovation,source_only
EF0118,Document type,t0_opportunity,,CD066,opportunity,excluded
EF0119,DOI-presence opportunity context,t0_opportunity,,CD065,opportunity,excluded
EF0120,Early-access timing,t0_substantive,,CD017,context_control,excluded
EF0121,Economic-evaluation presence,t0_substantive,,CD019,t0_potential,broad_t0_only
EF0122,Economic value-for-money measure,t0_substantive,,CD015,opportunity,excluded
EF0123,Economics writing style,t0_substantive,,CD053,t0_potential,excluded
EF0124,Educational setting,context_control,,CD057,context_control,broad_t0_only
EF0125,Effect size,t0_substantive,,CD055,sensitivity,excluded
EF0126,Ego-centric coauthorship network,t0_opportunity,,CD015,opportunity,excluded
EF0127,Empirical-study status,context_control,,CD057,context_control,source_only
EF0128,Endpoint-assessment breadth,t0_substantive,,CD037,t0_potential,source_only
EF0129,Entropy balance component,t0_substantive,predictive,CD031,t0_potential,source_only
EF0130,Entropy variety component,t0_substantive,predictive,CD031,t0_potential,source_only
EF0131,Evaluated study-design attributes,t0_substantive,,CD056,t0_potential,source_only
EF0132,Evaluation criteria,t0_substantive,,CD021,t0_potential,excluded
EF0133,Evidence applicability,t0_substantive,,CD022,sensitivity,excluded
EF0134,Evidence consistency,t0_substantive,,CD022,sensitivity,broad_t0_only
EF0135,Evidence directness,t0_substantive,,CD022,sensitivity,broad_t0_only
EF0136,Evidence dose-response,t0_substantive,,CD022,sensitivity,broad_t0_only
EF0137,Evidence generalizability,t0_substantive,,CD022,sensitivity,broad_t0_only
EF0138,Evidence relevance,t0_substantive,,CD022,sensitivity,excluded
EF0139,Evidence reliability,t0_substantive,,CD022,sensitivity,excluded
EF0140,Evidence-strength level,t0_substantive,,CD022,sensitivity,source_only
EF0141,Experimental control,t0_substantive,,CD046,context_control,excluded
EF0142,Experimental platform,t0_opportunity,,CD046,context_control,excluded
EF0143,Experimental scalability,t0_substantive,,CD022,sensitivity,excluded
EF0144,Experimental study design,t0_substantive,,CD057,context_control,excluded
EF0145,Exposure identification validity,t0_substantive,,CD033,sensitivity,excluded
EF0146,External validity,t0_substantive,,CD033,sensitivity,excluded
EF0147,Field citation intensity,context_control,,CD013,t0_potential,excluded
EF0148,Field-year normalization stratum,context_control,,CD063,context_control,source_only
EF0149,Firm affiliation,t0_opportunity,,CD027,opportunity,source_only
EF0150,First-author career experience,t0_opportunity,,CD007,opportunity,excluded
EF0151,First-author primary-language predictor,t0_opportunity,,CD008,opportunity,source_only
EF0152,Focused review question,t0_substantive,,CD038,t0_potential,excluded
EF0153,Fragility Index,t0_substantive,,CD006,context_control,excluded
EF0154,Funding availability,t0_opportunity,,CD001,t0_potential,excluded
EF0155,Funding duration,t0_opportunity,,CD024,opportunity,source_only
EF0156,Funding intensity,t0_opportunity,,CD023,context_control,excluded
EF0157,Funding-source category,t0_opportunity,,CD024,opportunity,excluded
EF0158,Funding-source reporting,t0_opportunity,,CD024,opportunity,excluded
EF0159,Funding status,t0_opportunity,,CD024,opportunity,source_only
EF0160,Funding status/source,t0_opportunity,,CD024,opportunity,source_only
EF0161,Generalist interdisciplinarity,direct_innovation,,CD028,sensitivity,excluded
EF0162,Gold-standard comparison,t0_substantive,,CD033,sensitivity,broad_t0_only
EF0163,Hardy-Weinberg-equilibrium reporting/testing,t0_substantive,,CD047,t0_potential,excluded
EF0164,Hybrid-discipline status,t0_opportunity,,CD066,opportunity,source_only
EF0165,Imaging-protocol documentation,t0_substantive,,CD034,t0_potential,broad_t0_only
EF0166,Impact threshold of a confounding variable,t0_substantive,,CD011,sensitivity,broad_t0_only
EF0167,Implementation reporting quality,t0_substantive,,CD047,t0_potential,excluded
EF0168,Included-study quality predictor,t0_substantive,,CD025,t0_potential,excluded
EF0169,Industry-academic collaboration,t0_opportunity,opportunity,CD014,opportunity,excluded
EF0170,Industry-collaboration comparison group,context_control,,CD015,opportunity,excluded
EF0171,Industry funding,t0_opportunity,,CD023,context_control,excluded
EF0172,Initial article information,t0_substantive,,CD005,t0_potential,excluded
EF0173,Innovation inertia,t0_opportunity,,CD065,opportunity,broad_t0_only
EF0174,Institutional-collaboration breadth,t0_opportunity,opportunity,CD014,opportunity,excluded
EF0175,Institutional prestige,t0_opportunity,,CD027,opportunity,excluded
EF0176,Institutional research support,t0_opportunity,,CD027,opportunity,excluded
EF0177,Integrationist interdisciplinarity,direct_innovation,,CD028,sensitivity,excluded
EF0178,Intended impact audience,t0_opportunity,,CD047,t0_potential,excluded
EF0179,Inter-reviewer reliability measure,t0_substantive,,CD033,sensitivity,excluded
EF0180,Interactional metadiscourse,t0_substantive,,CD053,t0_potential,source_only
EF0181,Interdisciplinarity assessment pathway completeness,direct_innovation,,CD028,sensitivity,excluded
EF0182,Interdisciplinarity-estimate uncertainty,direct_innovation,,CD028,sensitivity,source_only
EF0183,Interdisciplinary collaboration,direct_innovation,,CD030,t0_potential,excluded
EF0184,Interdisciplinary committee composition,direct_innovation,,CD030,t0_potential,excluded
EF0185,Interdisciplinary-journal status,direct_innovation,,CD030,t0_potential,excluded
EF0186,International collaboration,t0_opportunity,opportunity,CD014,opportunity,strict_core
EF0187,International collaboration leadership,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0188,International collaboration scale,t0_opportunity,opportunity,CD014,opportunity,strict_core
EF0189,International study design,t0_opportunity,,CD058,opportunity,source_only
EF0190,International-team country composition,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0191,Ischemia-model type,t0_substantive,,CD019,t0_potential,source_only
EF0192,Journal abstract/keyword policy,t0_opportunity,,CD002,t0_potential,excluded
EF0193,Journal acceptance status,t0_opportunity,control,CD041,context_control,excluded
EF0194,Journal and document properties,t0_opportunity,,CD066,opportunity,excluded
EF0195,Journal data-sharing policy,t0_opportunity,,CD017,context_control,excluded
EF0196,Journal disciplinary scope,t0_opportunity,,CD066,opportunity,source_only
EF0197,Journal identity,context_control,control,CD041,context_control,strict_core
EF0198,Journal impact factor,t0_opportunity,,CD066,opportunity,excluded
EF0199,Journal keyword-frequency context,t0_opportunity,,CD062,t0_potential,excluded
EF0200,Journal prestige,t0_opportunity,,CD066,opportunity,source_only
EF0201,Journal quartile,t0_opportunity,,CD066,opportunity,source_only
EF0202,Journal reporting-instruction strength,t0_opportunity,,CD043,opportunity,broad_t0_only
EF0203,Journal-scope relevance,t0_opportunity,,CD019,t0_potential,excluded
EF0204,Journal-type predictor,t0_opportunity,,CD066,opportunity,source_only
EF0205,Journal/venue-type context,t0_opportunity,control,CD041,context_control,excluded
EF0206,Key-term association strength,t0_substantive,,CD063,context_control,excluded
EF0207,Keyword count,t0_substantive,,CD062,t0_potential,source_only
EF0208,Keyword design,t0_substantive,,CD062,t0_potential,excluded
EF0209,Knowledge-base interdisciplinarity,direct_innovation,,CD029,substantive_innovation,source_only
EF0210,Knowledge-claim count,t0_substantive,predictive,CD031,t0_potential,excluded
EF0211,Knowledge-combination conventionality,t0_substantive,predictive,CD031,t0_potential,source_only
EF0212,Knowledge-graph dynamics,t0_substantive,predictive,CD031,t0_potential,excluded
EF0213,Latent article topic,t0_opportunity,,CD065,opportunity,source_only
EF0214,Lay-summary availability,t0_substantive,,CD001,t0_potential,excluded
EF0215,Librarian involvement,t0_substantive,,CD059,t0_potential,broad_t0_only
EF0216,Linguistic features,t0_substantive,,CD053,t0_potential,source_only
EF0217,Longitudinal imaging assessment,t0_substantive,,CD056,t0_potential,broad_t0_only
EF0218,Machine-readable data metadata,t0_substantive,,CD017,context_control,excluded
EF0219,Manuscript length policy,t0_opportunity,,CD002,t0_potential,excluded
EF0220,Manuscript theoretical grounding,t0_substantive,,CD049,t0_potential,excluded
EF0221,Mean dependency distance,t0_substantive,,CD053,t0_potential,broad_t0_only
EF0222,Mendelian-randomization sensitivity diagnostic,t0_substantive,,CD011,sensitivity,excluded
EF0223,MeSH topic feature,t0_substantive,,CD063,context_control,excluded
EF0224,Meta-analysis reporting standards,t0_substantive,,CD047,t0_potential,broad_t0_only
EF0225,Meta-analytic estimate precision,t0_substantive,,CD055,sensitivity,excluded
EF0226,Methodological-innovation adaptation source,t0_substantive,,CD035,t0_potential,excluded
EF0227,Methodological middle spaces,t0_substantive,,CD035,t0_potential,excluded
EF0228,Methodological quality,t0_substantive,,CD056,t0_potential,source_only
EF0229,Methodological-quality predictor,t0_substantive,,CD056,t0_potential,broad_t0_only
EF0230,Methodological-quality score,t0_substantive,,CD056,t0_potential,source_only
EF0231,MMR question-method alignment,t0_substantive,,CD049,t0_potential,broad_t0_only
EF0232,Multi-institutional collaboration,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0233,Multi-reviewer consensus process,t0_substantive,,CD038,t0_potential,excluded
EF0234,Multicenter study breadth,t0_opportunity,,CD058,opportunity,source_only
EF0235,Mutual-information disparity component,t0_substantive,predictive,CD031,t0_potential,source_only
EF0236,National collaboration,t0_opportunity,opportunity,CD014,opportunity,excluded
EF0237,Nature Index journal status,t0_opportunity,,CD066,opportunity,source_only
EF0238,Network centrality,t0_opportunity,,CD012,opportunity,fulltext_only
EF0239,Network giant-component opportunity context,t0_opportunity,,CD015,opportunity,source_only
EF0240,New-concept birth metric,direct_innovation,,CD032,substantive_innovation,fulltext_only
EF0241,Non-radiomic feature integration,t0_substantive,,CD035,t0_potential,broad_t0_only
EF0242,Novelty followership,direct_innovation,,CD036,context_control,excluded
EF0243,Novelty followership window,context_control,,CD036,context_control,excluded
EF0244,Novelty-status comparison group,context_control,,CD036,context_control,excluded
EF0245,Objective writing style,t0_substantive,,CD053,t0_potential,source_only
EF0246,Omega reliability coefficients,t0_substantive,,CD033,sensitivity,broad_t0_only
EF0247,Open-access status,t0_opportunity,,CD017,context_control,excluded
EF0248,Open-science practice,t0_substantive,,CD021,t0_potential,excluded
EF0249,ORCID-identifier availability,t0_opportunity,,CD009,opportunity,source_only
EF0250,ORCID-identifier opportunity context,t0_opportunity,,CD009,opportunity,source_only
EF0251,Outcome-measure validation status,t0_substantive,,CD033,sensitivity,broad_t0_only
EF0252,Outcome measurement granularity,t0_substantive,,CD033,sensitivity,excluded
EF0253,Outcome-reporting heterogeneity,t0_substantive,,CD047,t0_potential,excluded
EF0254,Paper content diversity,direct_innovation,,CD061,substantive_innovation,excluded
EF0255,Paper evaluation method,t0_substantive,,CD021,t0_potential,excluded
EF0256,Paper integrity,t0_substantive,,CD048,t0_potential,excluded
EF0257,Paper interdisciplinarity,direct_innovation,,CD029,substantive_innovation,source_only
EF0258,Paper knowledge-network structure,t0_opportunity,,CD012,opportunity,source_only
EF0259,Paper knowledge synergy,t0_substantive,predictive,CD031,t0_potential,source_only
EF0260,Paper multidisciplinarity,t0_substantive,predictive,CD031,t0_potential,source_only
EF0261,Paper novelty,direct_innovation,,CD052,t0_potential,excluded
EF0262,Paper originality,direct_innovation,,CD052,t0_potential,excluded
EF0263,Paper research risk,t0_substantive,,CD048,t0_potential,excluded
EF0264,Paper significance,t0_substantive,,CD025,t0_potential,excluded
EF0265,Paper-topic-recombination measure,direct_innovation,,CD063,context_control,excluded
EF0266,Participant-demographics control,context_control,,CD057,context_control,broad_t0_only
EF0267,Patient-selection reporting,t0_substantive,,CD051,t0_potential,broad_t0_only
EF0268,Peer-review process,t0_opportunity,,CD038,t0_potential,excluded
EF0269,Peer-reviewed English-language publication control,context_control,,CD042,t0_potential,excluded
EF0270,Peer reviewer rating,t0_substantive,,CD038,t0_potential,excluded
EF0271,Phantom-study validation,t0_substantive,,CD033,sensitivity,broad_t0_only
EF0272,Pharmaceutical-funding control,context_control,,CD023,context_control,source_only
EF0273,Phenotypic feature validation,t0_substantive,,CD033,sensitivity,broad_t0_only
EF0274,Pleiotropy bias,t0_substantive,,CD011,sensitivity,excluded
EF0275,Preclinical sex inclusion,t0_substantive,,CD055,sensitivity,excluded
EF0276,Prespecified outcome and effect measurement,t0_substantive,,CD037,t0_potential,broad_t0_only
EF0277,Prespecified review analysis plan,t0_substantive,,CD038,t0_potential,excluded
EF0278,Prespecified review protocol,t0_substantive,,CD059,t0_potential,excluded
EF0279,Primary-outcome type,t0_substantive,,CD037,t0_potential,source_only
EF0280,Prior-author h-index,t0_opportunity,,CD007,opportunity,broad_t0_only
EF0281,Prior-author-impact opportunity context,t0_opportunity,,CD007,opportunity,broad_t0_only
EF0282,Prior-coauthorship count,t0_opportunity,,CD015,opportunity,source_only
EF0283,Prior-coauthorship strength,t0_opportunity,,CD015,opportunity,source_only
EF0284,Prior-collaboration continuity,t0_opportunity,,CD015,opportunity,source_only
EF0285,Prior data-reuse experience,t0_substantive,,CD017,context_control,excluded
EF0286,Prior data-sharing experience,t0_substantive,,CD017,context_control,excluded
EF0287,Prior-knowledge engagement,t0_substantive,,CD044,t0_potential,source_only
EF0288,Prior publication count,t0_opportunity,,CD007,opportunity,broad_t0_only
EF0289,Prior-work-combination conventionality predictor,t0_substantive,,CD044,t0_potential,source_only
EF0290,PRISMA adherence,t0_substantive,,CD047,t0_potential,excluded
EF0291,PRISMA reporting adherence,t0_substantive,,CD047,t0_potential,excluded
EF0292,Program-evaluation study purpose,t0_substantive,,CD021,t0_potential,excluded
EF0293,Protocol-defined search yield,t0_substantive,,CD059,t0_potential,excluded
EF0294,Public-access mandate,t0_opportunity,,CD017,context_control,excluded
EF0295,Public full-text availability,t0_substantive,,CD001,t0_potential,excluded
EF0296,Public-funding status,t0_opportunity,,CD024,opportunity,excluded
EF0297,Public involvement,t0_substantive,,CD039,opportunity,excluded
EF0298,Public-involvement mandate,t0_opportunity,,CD039,opportunity,excluded
EF0299,Public study-protocol availability,t0_substantive,,CD018,t0_potential,broad_t0_only
EF0300,Publication and funding bias,t0_opportunity,,CD040,opportunity,broad_t0_only
EF0301,Publication-based trial leadership,t0_substantive,,CD007,opportunity,source_only
EF0302,Publication-data linkage,t0_substantive,control,CD041,context_control,excluded
EF0303,Publication geographic origin,t0_substantive,,CD042,t0_potential,source_only
EF0304,Publication language,context_control,control,CD041,context_control,excluded
EF0305,Publication-language predictor,t0_substantive,,CD042,t0_potential,excluded
EF0306,Publication recency,t0_substantive,control,CD041,context_control,source_only
EF0307,Publication year,context_control,control,CD041,context_control,strict_core
EF0308,Randomization status,t0_opportunity,,CD056,t0_potential,broad_t0_only
EF0309,Rao-Stirling diversity,direct_innovation,predictive,CD031,t0_potential,fulltext_only
EF0310,Reader cognitive load,t0_substantive,,CD053,t0_potential,source_only
EF0311,Reference accuracy,t0_substantive,,CD013,t0_potential,source_only
EF0312,Reference balance,t0_substantive,predictive,CD031,t0_potential,strict_core
EF0313,Reference-combination novelty,direct_innovation,,CD046,context_control,excluded
EF0314,Reference count,t0_substantive,,CD046,context_control,fulltext_only
EF0315,Reference disparity,t0_substantive,predictive,CD031,t0_potential,fulltext_only
EF0316,Reference diversity,direct_innovation,,CD029,substantive_innovation,source_only
EF0317,Reference-list characteristics,t0_substantive,,CD013,t0_potential,source_only
EF0318,Reference variety,t0_substantive,predictive,CD031,t0_potential,strict_core
EF0319,Relative algebraic connectivity,t0_opportunity,,CD015,opportunity,fulltext_only
EF0320,Reported effect size,t0_substantive,,CD055,sensitivity,source_only
EF0321,Reporting bias,t0_substantive,,CD047,t0_potential,excluded
EF0322,Reporting-guideline adherence,t0_substantive,,CD047,t0_potential,source_only
EF0323,Reporting quality,t0_substantive,,CD047,t0_potential,source_only
EF0324,Reproducibility/replicability,t0_substantive,,CD048,t0_potential,excluded
EF0325,Research-advisor capacity,t0_opportunity,,CD027,opportunity,excluded
EF0326,Research-code sharing status,t0_substantive,,CD018,t0_potential,excluded
EF0327,Research collaboration,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0328,Research-community-size context,t0_opportunity,,CD065,opportunity,source_only
EF0329,Research-data sharing status,t0_substantive,,CD018,t0_potential,source_only
EF0330,Research difficulty,t0_substantive,,CD048,t0_potential,excluded
EF0331,Research field,t0_opportunity,,CD066,opportunity,source_only
EF0332,Research-gap feasibility,t0_opportunity,,CD048,t0_potential,excluded
EF0333,Research-gap novelty opportunity,direct_innovation,,CD048,t0_potential,excluded
EF0334,Research governance and ethics reporting,t0_substantive,,CD020,t0_potential,broad_t0_only
EF0335,Research infrastructure,t0_opportunity,,CD048,t0_potential,excluded
EF0336,Research integrity,t0_substantive,,CD048,t0_potential,broad_t0_only
EF0337,Research-location traditionality,t0_opportunity,,CD027,opportunity,source_only
EF0338,Research-network involvement,t0_opportunity,,CD015,opportunity,broad_t0_only
EF0339,Research originality and plagiarism,direct_innovation,,CD048,t0_potential,excluded
EF0340,Research-pivot distance,t0_substantive,,CD064,t0_potential,source_only
EF0341,Research quality,t0_substantive,,CD048,t0_potential,excluded
EF0342,Research quality control,t0_substantive,,CD048,t0_potential,broad_t0_only
EF0343,Research-question framing,t0_substantive,,CD049,t0_potential,broad_t0_only
EF0344,Research-question type,t0_substantive,,CD049,t0_potential,broad_t0_only
EF0345,Research-site control,context_control,,CD057,context_control,broad_t0_only
EF0346,Research type,t0_substantive,,CD048,t0_potential,excluded
EF0347,Researcher-participant role overlap,t0_substantive,,CD048,t0_potential,excluded
EF0348,Researcher reflexivity,t0_substantive,,CD020,t0_potential,excluded
EF0349,Review conceptual-definition ambiguity,t0_substantive,,CD049,t0_potential,broad_t0_only
EF0350,Review conceptual/methodological/practical inconsistency,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0351,Review data-extraction standardization,t0_substantive,,CD060,t0_potential,excluded
EF0352,Review data-extraction/synthesis adequacy,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0353,Review eligibility criteria,t0_substantive,,CD050,sensitivity,excluded
EF0354,Review evidence synthesis,t0_substantive,,CD060,t0_potential,excluded
EF0355,Review heterogeneity assessment,t0_substantive,,CD050,sensitivity,excluded
EF0356,Review-methodological consistency,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0357,Review practical challenges,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0358,Review protocol adherence,t0_substantive,,CD059,t0_potential,excluded
EF0359,Review protocol registration timing,t0_substantive,,CD059,t0_potential,excluded
EF0360,Review protocol/reporting consistency,t0_substantive,,CD059,t0_potential,broad_t0_only
EF0361,Review quality-appraisal adequacy,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0362,Review registration,t0_substantive,,CD060,t0_potential,excluded
EF0363,Review rigor/replicability/documentation barriers,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0364,Review search-source breadth,t0_substantive,,CD059,t0_potential,excluded
EF0365,Review search strategy,t0_substantive,,CD059,t0_potential,source_only
EF0366,Review search-strategy transparency,t0_substantive,,CD059,t0_potential,broad_t0_only
EF0367,Review selection-process bias,t0_substantive,,CD050,sensitivity,excluded
EF0368,Reviewer methodological training,t0_substantive,,CD035,t0_potential,excluded
EF0369,Reviewer subjectivity,t0_substantive,,CD050,sensitivity,excluded
EF0370,Rise of research teams,t0_substantive,,CD048,t0_potential,excluded
EF0371,Risk of bias,t0_substantive,,CD011,sensitivity,source_only
EF0372,Scientific creativity,direct_innovation,,CD052,t0_potential,excluded
EF0373,Scientific novelty,direct_innovation,,CD052,t0_potential,excluded
EF0374,Scientific paper quality,t0_substantive,,CD025,t0_potential,excluded
EF0375,Scientific-validity assessment framework,t0_substantive,,CD033,sensitivity,broad_t0_only
EF0376,Scientific writing,t0_substantive,,CD053,t0_potential,source_only
