id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community_label
https://openalex.org/W2006418860,1993,B-cation arrangements in double perovskites,graphene_2d_materials,Ferroelectric and Piezoelectric Materials,315,0,,W2006418860,10.1016/0079-6786(93)90004-b,1139,Ferroelectric and Piezoelectric Materials,Ferroelectric and Piezoelectric Materials
https://openalex.org/W2015733044,1992,Occurrence and characterization of anionic bondings in transition metal dichalcogenides,graphene_2d_materials,Inorganic Chemistry and Materials,440,0,,W2015733044,10.1016/0925-8388(92)90269-f,82,Inorganic Chemistry and Materials,Inorganic Chemistry and Materials
https://openalex.org/W2036954765,1992,Analogies between the concepts of molecular chemistry and solid-state physics concerning structural instabilities. Electronic origin of the structural modulations in layered transition metal dichalcogenides,graphene_2d_materials,Inorganic Fluorides and Related Compounds,441,0,,W2036954765,10.1021/ja00050a044,280,Inorganic Fluorides and Related Compounds,Inorganic Fluorides and Related Compounds
https://openalex.org/W2147405339,1993,Encapsulation of polymers into MoS2 and metal to insulator transition in metastable MoS2,graphene_2d_materials,Chemical Synthesis and Characterization,158,0,,W2147405339,10.1039/c39930001582,141,Chemical Synthesis and Characterization,Chemical Synthesis and Characterization
https://openalex.org/W2043056222,1992,Surface modification of MoS2 using an STM,graphene_2d_materials,Advanced Materials Characterization Techniques,32,0,,W2043056222,10.1016/0169-4332(92)90489-k,160,Advanced Materials Characterization Techniques,Advanced Materials Characterization Techniques
https://openalex.org/W2091364833,1990,Electronic properties of low dimensional solids: The physics and chemistry of layer type transition metal dichalcogenides and their intercalate complexes,graphene_2d_materials,2D Materials and Applications,0,0,,W2091364833,10.1016/0167-2738(90)90021-i,55,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1973199938,1990,Hertzian stress contribution to low friction behavior of thin MoS2 coatings,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1973199938,10.1063/1.104276,255,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2056895346,1990,Morphology and activity of MoS2 on various supports: Genesis of the active phase,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2056895346,10.1016/0021-9517(90)90189-q,154,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2021275797,1993,Electronic structure of double-layer graphene tubules,graphene_2d_materials,Graphene research and applications,373,0,,W2021275797,10.1063/1.353358,323,Graphene research and applications,Graphene research and applications
https://openalex.org/W2088027451,1993,Interlayer communication in some two-dimensional materials,graphene_2d_materials,Molecular Communication and Nanonetworks,571,0,,W2088027451,10.1021/ja00058a052,27,Molecular Communication and Nanonetworks,Molecular Communication and Nanonetworks
https://openalex.org/W1542482684,1993,MoS2 structures in high-activity hydrotreating catalysts,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W1542482684,10.1016/0926-860x(93)85133-a,132,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2092700187,1992,"Poly(N-isopropylacrylamide): experiment, theory and application",graphene_2d_materials,Advanced Materials and Mechanics,33,0,,W2092700187,10.1016/0079-6700(92)90023-r,5069,Advanced Materials and Mechanics,Advanced Materials and Mechanics
https://openalex.org/W1992238197,1992,"Synthetic Bilayer Membranes: Molecular Design, Self‐Organization, and Application",graphene_2d_materials,Lipid Membrane Structure and Behavior,487,0,,W1992238197,10.1002/anie.199207091,677,Lipid Membrane Structure and Behavior,Lipid Membrane Structure and Behavior
https://openalex.org/W1513861898,1990,Protein structure: A practical approach,graphene_2d_materials,Protein Interaction Studies and Fluorescence Analysis,693,0,,W1513861898,10.1016/0968-0004(90)90136-y,1995,Protein Interaction Studies and Fluorescence Analysis,Protein Interaction Studies and Fluorescence Analysis
https://openalex.org/W2009363882,1990,Properties of the transition metal dichalcogenides: The case of IrS2 and IrSe2,graphene_2d_materials,Inorganic Chemistry and Materials,440,0,,W2009363882,10.1016/0022-4596(90)90273-z,59,Inorganic Chemistry and Materials,Inorganic Chemistry and Materials
https://openalex.org/W2020033249,1993,Optical properties of the layered transition-metal-dichalcogenide ReS2: Anisotropy in the van der Waals plane,graphene_2d_materials,2D Materials and Applications,0,0,,W2020033249,10.1063/1.354268,97,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1999679624,1994,Epitaxy and scanning tunneling microscopy image contrast of copper–phthalocyanine on graphite and MoS2,graphene_2d_materials,Surface Chemistry and Catalysis,792,0,,W1999679624,10.1116/1.587680,140,Surface Chemistry and Catalysis,Surface Chemistry and Catalysis
https://openalex.org/W1988168036,1992,Structural and tribological studies of MoS2 solid lubricant films having tailored metal-multilayer nanostructures,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1988168036,10.1016/0257-8972(92)90099-v,173,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2130741878,1994,STM investigations of PTCDA and PTCDI on graphite and MoS2. A systematic study of epitaxy and STM image contrast,graphene_2d_materials,Molecular Junctions and Nanostructures,572,0,,W2130741878,10.1007/bf01312708,167,Molecular Junctions and Nanostructures,Molecular Junctions and Nanostructures
https://openalex.org/W1990147235,1990,Hard and soft acids and bases—the evolution of a chemical concept,graphene_2d_materials,Chemical Synthesis and Characterization,158,0,,W1990147235,10.1016/0010-8545(90)85016-l,870,Chemical Synthesis and Characterization,Chemical Synthesis and Characterization
https://openalex.org/W1970406951,1991,"Synthesis and characterization of the new quaternary two-dimensional materials KCu2NbQ4(Q = Se, S)",graphene_2d_materials,Crystal Structures and Properties,212,0,,W1970406951,10.1016/0022-4596(91)90204-u,29,Crystal Structures and Properties,Crystal Structures and Properties
https://openalex.org/W1973742777,1991,Rapid solid-state synthesis of materials from molybdenum disulphide to refractories,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W1973742777,10.1038/349510a0,242,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2094895357,1994,Morphology Study of MOS2- and WS2-Based Hydrotreating Catalysts by High-Resolution Electron Microscopy,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2094895357,10.1006/jcat.1994.1122,131,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2006588164,1993,Mechanistic study of the synergism between Sb2O3 and MoS2 lubricant systems using Raman spectroscopy,graphene_2d_materials,Lubricants and Their Additives,495,0,,W2006588164,10.1016/0043-1648(93)90378-y,88,Lubricants and Their Additives,Lubricants and Their Additives
https://openalex.org/W1995450187,1992,Study on lithium intercalation into MoS2,graphene_2d_materials,Advancements in Battery Materials,61,0,,W1995450187,10.1016/0167-2738(92)90137-e,65,Advancements in Battery Materials,Advancements in Battery Materials
https://openalex.org/W2084878688,1993,Superlow friction of oxygen-free MoS2 coatings in ultrahigh vacuum,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2084878688,10.1016/0257-8972(93)90275-s,76,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2008741836,1994,"Structure-Function Relations in Molybdenum Sulfide Catalysts: The ""Rim-Edge"" Model",graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2008741836,10.1006/jcat.1994.1308,734,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2023898615,1994,Role of alkali promoters in K/MoS2 catalysts for CO-H2 reactions,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2023898615,10.1016/0926-860x(94)80101-0,71,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2095794582,1994,Nature of super-lubricating MoS2 physical vapor deposition coatings,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2095794582,10.1116/1.578996,73,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2037179586,1994,Effect of MoS2 morphology on the HDS activity of hydrotreating catalysts,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2037179586,10.1007/bf00824029,81,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2039372621,1990,Effects of argon ion bombardment on basal plane and polycrystalline MoS2,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2039372621,10.1016/0039-6028(90)90508-6,67,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W1968164954,1993,Self-assembled alkane monolayers on MoSe2 and MoS2,graphene_2d_materials,Surface Chemistry and Catalysis,792,0,,W1968164954,10.1063/1.109017,81,Surface Chemistry and Catalysis,Surface Chemistry and Catalysis
https://openalex.org/W2016061789,1994,Aharonov-Bohm-type effect in graphene tubules: A Landauer approach,graphene_2d_materials,Graphene research and applications,373,0,,W2016061789,10.1103/physrevb.49.5097,160,Graphene research and applications,Graphene research and applications
https://openalex.org/W1985194967,1990,Atomic oxygen-MoS2 chemical interactions,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1985194967,10.1016/0257-8972(90)90113-q,46,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2089101303,1994,Superlubricity of MoS2: crystal orientation mechanisms,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2089101303,10.1016/0257-8972(94)90197-x,143,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2002497245,1992,Synthesis of MoS2 Thin Film by Chemical Vapor Deposition Method and Discharge Characteristics as a Cathode of the Lithium Secondary Battery,graphene_2d_materials,Semiconductor materials and interfaces,752,0,,W2002497245,10.1149/1.2221182,88,Semiconductor materials and interfaces,Semiconductor materials and interfaces
https://openalex.org/W2008700951,1992,Epitaxial growth of coronene and hexa-peri-benzocoronene on MoS2(0001) and graphite (0001): a LEED study of molecular size effects,graphene_2d_materials,Surface and Thin Film Phenomena,796,0,,W2008700951,10.1016/0039-6028(92)90969-d,89,Surface and Thin Film Phenomena,Surface and Thin Film Phenomena
https://openalex.org/W2061465592,1990,"Oxygen substitution in sputter-deposited MoS2 films studied by extended X-ray absorption fine structure, X-ray photoelectron spectroscopy and X-ray diffraction",graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2061465592,10.1016/0257-8972(90)90008-z,86,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W38316647,1992,Object oriented design with applications,graphene_2d_materials,Advanced Chemical Sensor Technologies,22,0,,W38316647,10.1016/0950-5849(92)90141-b,1102,Advanced Chemical Sensor Technologies,Advanced Chemical Sensor Technologies
https://openalex.org/W2063361047,1993,Collective excitations in metallic graphene tubules,graphene_2d_materials,Plasmonic and Surface Plasmon Research,673,0,,W2063361047,10.1103/physrevb.48.18239,98,Plasmonic and Surface Plasmon Research,Plasmonic and Surface Plasmon Research
https://openalex.org/W2028063595,1992,Electrochemical studies of disordered MoS2 as cathode material in lithium batteries,graphene_2d_materials,Advancements in Battery Materials,61,0,,W2028063595,10.1016/0921-5107(92)90034-7,51,Advancements in Battery Materials,Advancements in Battery Materials
https://openalex.org/W2158168811,1991,Lattice parameters of sputtered MoS2 films,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2158168811,10.1016/0040-6090(91)90334-t,53,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2950349295,1993,High-quality mixed-transition-metal dichalcogenides from solid-state exchange reactions,graphene_2d_materials,2D Materials and Applications,0,0,,W2950349295,10.1021/ic00078a028,18,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W2150081666,1990,Exafs study of the local structure of Ni in Ni-MoS2/C hydrodesulfurization catalysts,graphene_2d_materials,Corrosion Behavior and Inhibition,206,0,,W2150081666,10.1007/bf00764672,59,Corrosion Behavior and Inhibition,Corrosion Behavior and Inhibition
https://openalex.org/W2089675398,1992,Reversible hydrogen adsorption on MoS2 studied by temperature-programmed desorption and temperature-programmed reduction,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2089675398,10.1016/0021-9517(92)90166-f,68,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2025914293,1993,Structure and Distribution of Alkali Promoter in K/MoS2 Catalysts and Their Effects on Alcohol Synthesis from Syngas,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2025914293,10.1006/jcat.1993.1240,55,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2079860052,1993,Single-layer MoS2 on mica: studies by means of scanning force microscopy,graphene_2d_materials,Force Microscopy Techniques and Applications,328,0,,W2079860052,10.1016/0039-6028(93)90875-k,55,Force Microscopy Techniques and Applications,Force Microscopy Techniques and Applications
https://openalex.org/W2081170161,1994,Random stacking in MoS2−x sputtered thin films,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2081170161,10.1016/0040-6090(94)90693-9,56,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2063281898,1993,Angle-resolved photoemission spectroscopy of ultrathin films of H2-phthalocyanine on MoS2 surfaces,graphene_2d_materials,Electron and X-Ray Spectroscopy Techniques,285,0,,W2063281898,10.1063/1.465433,59,Electron and X-Ray Spectroscopy Techniques,Electron and X-Ray Spectroscopy Techniques
https://openalex.org/W4230732605,1993,MoS2 thin films prepared by sulphurization,graphene_2d_materials,Chalcogenide Semiconductor Thin Films,157,0,,W4230732605,10.1016/0169-4332(93)90703-e,36,Chalcogenide Semiconductor Thin Films,Chalcogenide Semiconductor Thin Films
https://openalex.org/W2055843645,1991,Lattice dynamics of lithium intercalated MoS2,graphene_2d_materials,2D Materials and Applications,0,0,,W2055843645,10.1016/0167-2738(91)90036-b,38,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1994353555,1992,Scanning tunneling microscopy of single-layer MoS2 in water and butanol,graphene_2d_materials,Molecular Junctions and Nanostructures,572,0,,W1994353555,10.1016/0304-3991(92)90334-g,40,Molecular Junctions and Nanostructures,Molecular Junctions and Nanostructures
https://openalex.org/W1987759333,1993,Optimization of the anisotropy of composite MoS2 films,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1987759333,10.1016/0040-6090(93)90190-z,32,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2069810599,1993,MoS2 structures in high activity hydrotreating catalysts. II. Evolution of the active phase during the catalyst life cycle. Deactivation model,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2069810599,10.1016/0926-860x(93)85134-b,61,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2026440975,1994,An Investigation of the Reduction Behavior of MoS2/Al2O3 and the Subsequent Detection of Hydrogen on the Surface,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2026440975,10.1006/jcat.1994.1196,51,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2088486774,1990,Kinetic modelling of higher alcohol synthesis over alkali-promoted Cu/ZnO and MoS2 catalysts,graphene_2d_materials,Catalysts for Methane Reforming,152,0,,W2088486774,10.1016/0009-2509(90)80153-6,59,Catalysts for Methane Reforming,Catalysts for Methane Reforming
https://openalex.org/W2046931643,1991,Theoretical interpretation of scanning tunneling microscopy images: Application to the molybdenum disulfide family of transition metal dichalcogenides,graphene_2d_materials,Machine Learning in Materials Science,500,0,,W2046931643,10.1116/1.585591,19,Machine Learning in Materials Science,Machine Learning in Materials Science
https://openalex.org/W2016400114,1991,"Preparation by ion-beam-assisted deposition, analysis and tribological behavior of MoS2 films",graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2016400114,10.1016/0257-8972(91)90163-q,54,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W1972505670,1990,Tribological performance and deformation of sputter-deposited MoS2 solid lubricant films during sliding wear and indentation contact,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1972505670,10.1016/0040-6090(90)90285-l,89,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2952818478,1990,Quantitative detection of reactive hydrogen on MoS2/$gamma;-Al2O3 and on $gamma;-Al2O3,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2952818478,10.1016/0021-9517(90)90050-t,40,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2047972338,1994,The use of Raman scattering to study disorder in pulsed laser deposited MoS2 films,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2047972338,10.1016/0040-6090(94)90698-x,44,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2072766087,1993,Epitaxial growth of C60 and C70 films on GaSe (0001) and MoS2 (0001) surfaces,graphene_2d_materials,Fullerene Chemistry and Applications,335,0,,W2072766087,10.1016/0009-2614(93)87167-2,41,Fullerene Chemistry and Applications,Fullerene Chemistry and Applications
https://openalex.org/W2076762630,1990,The human basophil,graphene_2d_materials,Food Allergy and Anaphylaxis Research,324,0,,W2076762630,10.1016/1040-8428(90)90009-h,53,Food Allergy and Anaphylaxis Research,Food Allergy and Anaphylaxis Research
https://openalex.org/W1984775268,1994,STM investigations of C6Br6 on HOPG and MoS2,graphene_2d_materials,Molecular Junctions and Nanostructures,572,0,,W1984775268,10.1016/0039-6028(94)90335-2,30,Molecular Junctions and Nanostructures,Molecular Junctions and Nanostructures
https://openalex.org/W1970048870,1990,Anchoring structure of smectic liquid-crystal layers on MoS2 observed by scanning tunnelling microscopy,graphene_2d_materials,Surface Chemistry and Catalysis,792,0,,W1970048870,10.1038/344228a0,173,Surface Chemistry and Catalysis,Surface Chemistry and Catalysis
https://openalex.org/W1992231591,1990,"A review of the influence of environmental humidity and water on friction, lubrication and wear",graphene_2d_materials,Tribology and Wear Analysis,828,0,,W1992231591,10.1016/0301-679x(90)90053-r,460,Tribology and Wear Analysis,Tribology and Wear Analysis
https://openalex.org/W2047607870,1992,Atom Intensity Variation in the Scanning Tunneling Microscope Image of Mixed Crystals of Transition Metal Dichalcogenides,graphene_2d_materials,2D Materials and Applications,0,0,,W2047607870,10.1143/jjap.31.l1370,11,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1982565321,1990,Scanning tunneling microscopy observation of MoS2 surface and gold clusters deposited on MoS2 surface,graphene_2d_materials,Surface and Thin Film Phenomena,796,0,,W1982565321,10.1116/1.576374,25,Surface and Thin Film Phenomena,Surface and Thin Film Phenomena
https://openalex.org/W2033870146,1991,Quantum chemical study of MoS2 hydro desulfurization catalysts,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2033870146,10.1016/0304-5102(91)85141-n,31,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2008631808,1990,Superconductivity in a layered transition-metal dichalcogenide 2H-TaS2,graphene_2d_materials,2D Materials and Applications,0,0,,W2008631808,10.1016/0038-1098(90)90718-q,6,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1978104851,1993,Micromechanics of MoS2 lubrication,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1978104851,10.1016/0043-1648(93)90533-r,25,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2117409495,1990,Tribology — Origin and future,graphene_2d_materials,Lubricants and Their Additives,495,0,,W2117409495,10.1016/0043-1648(90)90068-l,203,Lubricants and Their Additives,Lubricants and Their Additives
https://openalex.org/W2011409579,1991,Exfoliated MoS2 monolayers as substrates for magnetic materials,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2011409579,10.1063/1.350002,31,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W1998583288,1992,Room-temperature oxidation of K2CO3/MoS2 catalysts and its effects on alcohol synthesis from CO and H2,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W1998583288,10.1016/0021-9517(92)90304-z,42,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W1990892747,1994,Soft X-ray photoelectron spectroscopy study of the interaction of Cr with MoS2(0001),graphene_2d_materials,Corrosion Behavior and Inhibition,206,0,,W1990892747,10.1016/0039-6028(94)90836-2,34,Corrosion Behavior and Inhibition,Corrosion Behavior and Inhibition
https://openalex.org/W2087649098,1991,New structures from exfoliated MoS2,graphene_2d_materials,Analytical Chemistry and Sensors,83,0,,W2087649098,10.1063/1.348839,35,Analytical Chemistry and Sensors,Analytical Chemistry and Sensors
https://openalex.org/W2042845138,1994,Fracture in MoS2 solid lubricant films,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W2042845138,10.1016/0257-8972(94)90194-5,30,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2054722751,1991,Study of the friction and wear properties of MoS2-filled Nylon 6,graphene_2d_materials,Fiber-reinforced polymer composites,316,0,,W2054722751,10.1016/0043-1648(91)90350-4,29,Fiber-reinforced polymer composites,Fiber-reinforced polymer composites
https://openalex.org/W1974273269,1994,Hybridization effects and metallicity in small radius carbon nanotubes,graphene_2d_materials,Carbon Nanotubes in Composites,144,0,,W1974273269,10.1103/physrevlett.72.1878,985,Carbon Nanotubes in Composites,Carbon Nanotubes in Composites
https://openalex.org/W962798106,1992,"Metastable layered chalcogenides 1T-MoS2, 2M-WS2 and : Electrochemical study on their intercalation reactions",graphene_2d_materials,Chalcogenide Semiconductor Thin Films,157,0,,W962798106,10.1016/0025-5408(92)90142-m,39,Chalcogenide Semiconductor Thin Films,Chalcogenide Semiconductor Thin Films
https://openalex.org/W2010313491,1994,Tribology of ultra-thin MoS2 platelets on mica: studies by scanning force microscopy,graphene_2d_materials,Force Microscopy Techniques and Applications,328,0,,W2010313491,10.1016/0040-6090(94)90703-x,30,Force Microscopy Techniques and Applications,Force Microscopy Techniques and Applications
https://openalex.org/W2081911860,1992,The morphology of oxide-supported MOS2,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2081911860,10.1016/0021-9517(92)90179-l,64,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2072967769,1990,Preparation of alternating MoS2 and WS2 single layers to form a new MoWS4 structure,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2072967769,10.1063/1.345661,33,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2045239535,1992,High-resolution electron microscopy study of phosphorus-containing MoS2/Al2O3 hydrotreating catalysts,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2045239535,10.1016/0926-860x(92)85038-d,35,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W1965025132,1990,Analysis of transfer films formed on steel and Co-WC during sliding against MoS2-coated steel in argon,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1965025132,10.1016/0257-8972(90)90133-w,34,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
https://openalex.org/W2042038235,1990,Scanning tunneling microscopy imaging of transition-metal dichalcogenides,graphene_2d_materials,2D Materials and Applications,0,0,,W2042038235,10.1063/1.103250,12,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1999187728,1994,Epitaxial Thin Films of Large Organic Molecules: Characterization of Phthalocyanine and Coronene Overlayers on the Layered Semiconductors MoS2 and SnS2,graphene_2d_materials,2D Materials and Applications,0,0,,W1999187728,10.1021/la00020a041,65,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W2064491091,1990,Structural aspects of thiophene coordination in transition metal complexes,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2064491091,10.1016/0010-8545(90)80018-o,210,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2002243564,1994,Role of Electron-Lattice Interaction in Layered Transition Metal Dichalcogenide 2H–NbS<sub>2</sub>. I. Phonon Anomaly and Superconductivity,graphene_2d_materials,Iron-based superconductors research,458,0,,W2002243564,10.1143/jpsj.63.156,29,Iron-based superconductors research,Iron-based superconductors research
https://openalex.org/W2064691400,1993,Processes in MoS2 Gasification,graphene_2d_materials,Catalysis and Hydrodesulfurization Studies,150,0,,W2064691400,10.1006/jcat.1993.1315,16,Catalysis and Hydrodesulfurization Studies,Catalysis and Hydrodesulfurization Studies
https://openalex.org/W2053546995,1992,Ordering of alkylcyanobiphenyl molecules at MoS2 and graphite surfaces studied by tunneling microscopy,graphene_2d_materials,Surface Chemistry and Catalysis,792,0,,W2053546995,10.1016/0039-6028(92)90592-t,26,Surface Chemistry and Catalysis,Surface Chemistry and Catalysis
https://openalex.org/W1982706536,1992,Orientation and structure of monolayer →→ multilayer phthalocyanine thin films on layered semiconductor (MoS2 and SnS2) surfaces,graphene_2d_materials,Porphyrin and Phthalocyanine Chemistry,686,0,,W1982706536,10.1116/1.577728,51,Porphyrin and Phthalocyanine Chemistry,Porphyrin and Phthalocyanine Chemistry
https://openalex.org/W1995612469,1992,Chemical and tribological characterization of PbOMoS2 films grown by pulsed laser deposition,graphene_2d_materials,Metal and Thin Film Mechanics,547,0,,W1995612469,10.1016/0040-6090(92)90764-3,153,Metal and Thin Film Mechanics,Metal and Thin Film Mechanics
